CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.042,40.870,57.240,35.036,5.983,33.233,35.873,34.206,29.366
0.251,40.350,57.607,34.961,6.084,33.495,36.339,34.209,29.688
0.108,40.370,57.875,35.044,5.940,33.660,36.034,34.150,29.245
0.170,40.843,57.230,35.158,5.995,33.244,36.205,34.419,29.022
0.202,40.514,57.529,35.174,5.808,32.740,35.944,34.422,29.524
0.182,40.114,57.159,34.883,6.083,33.350,36.107,34.386,29.439
0.171,40.397,57.556,34.839,5.999,33.490,36.085,34.358,29.423
0.169,39.907,57.445,34.724,5.992,33.547,35.948,34.119,29.457
0.163,40.397,56.723,34.928,5.725,33.546,35.884,34.021,29.533
0.219,41.154,57.297,34.776,6.186,33.088,36.206,34.148,29.666
0.133,40.796,56.766,35.132,5.914,32.998,35.871,34.315,29.270
0.201,40.443,57.947,35.168,6.010,33.211,35.711,33.543,29.650
0.119,40.153,57.066,35.084,5.876,32.745,35.852,34.176,29.199
0.247,40.572,57.168,35.252,5.874,32.851,36.280,34.085,28.956
0.202,40.823,57.212,34.881,5.864,33.057,36.092,34.391,29.305
0.172,40.642,57.080,34.834,6.180,33.318,36.044,34.187,29.783
0.262,40.334,57.057,35.121,5.939,33.101,36.085,34.150,28.936
0.164,40.588,57.723,34.854,5.921,33.528,35.632,34.099,29.478
0.176,40.384,57.300,34.879,6.020,32.829,35.535,34.317,29.336
0.149,40.327,57.313,34.891,5.980,33.315,36.159,34.068,29.475
0.137,40.656,57.175,35.081,5.962,33.094,36.196,34.081,29.183
0.163,40.169,57.922,35.406,6.043,32.727,35.973,34.243,29.333
0.118,40.731,56.922,35.113,5.917,33.489,36.231,34.299,29.295
0.076,40.554,56.992,35.059,5.903,32.707,36.209,34.350,29.492
0.179,40.563,57.125,34.698,5.949,33.338,35.743,33.731,29.432
0.175,40.387,57.143,35.169,5.910,32.774,35.836,34.110,29.057
0.202,40.456,57.004,34.865,5.817,32.795,36.043,34.076,28.780
0.161,40.682,57.079,34.889,6.021,33.433,36.237,34.026,29.653
0.171,40.432,56.942,34.877,5.907,33.580,35.708,34.107,29.273
0.227,40.797,56.508,34.801,6.005,32.502,36.145,33.726,29.204
0.176,40.279,57.228,35.111,5.878,33.524,36.079,33.697,29.682
0.194,40.074,57.129,35.028,5.890,33.323,35.884,34.093,29.231
0.180,40.354,57.598,34.995,6.074,33.170,35.934,34.670,29.362
0.145,40.382,57.235,35.455,6.050,33.260,35.841,33.825,29.682
0.146,40.763,57.510,34.920,5.788,33.510,36.349,33.938,29.593
0.186,40.555,57.542,35.270,5.904,33.169,36.004,34.465,29.637
0.176,40.639,56.951,35.162,5.919,32.154,35.928,34.039,29.078
0.155,40.796,56.580,35.079,5.866,33.063,35.975,34.155,29.344
0.193,40.747,57.595,34.847,5.859,32.956,35.869,34.284,29.533
0.182,40.671,56.964,35.019,5.859,32.792,35.875,34.208,29.599
0.314,40.266,57.383,34.687,6.000,32.652,36.296,34.062,29.432
0.238,40.374,57.310,35.137,6.079,33.360,35.781,34.239,29.306
0.105,40.871,56.874,35.028,5.702,33.098,35.703,34.246,29.267
0.154,40.004,57.491,35.309,5.797,33.137,36.313,34.064,29.655
0.230,40.425,57.063,35.115,5.904,33.176,36.308,34.155,29.760
0.126,40.352,56.479,34.692,6.098,33.296,36.514,34.162,29.157
0.188,40.773,57.317,34.789,5.790,33.032,36.279,33.981,29.197
0.141,40.753,57.079,35.097,5.842,33.584,36.041,33.522,29.206
0.196,40.798,56.853,35.043,5.880,32.951,35.825,34.032,29.541
0.169,40.593,57.450,35.114,5.849,33.735,36.152,34.574,29.363
0.169,40.166,57.211,35.164,6.092,32.976,36.298,34.239,29.461
0.166,40.270,57.476,34.595,5.749,33.182,35.851,34.330,29.451
0.128,40.641,57.104,35.335,6.245,32.814,36.041,33.927,29.447
0.163,40.714,57.351,34.929,6.073,33.356,36.520,33.878,29.641
0.148,40.990,56.862,35.089,5.936,32.909,36.108,34.201,29.152
0.142,40.407,57.654,35.295,5.998,33.198,36.107,34.421,30.016
0.209,40.205,56.939,35.537,6.071,33.064,36.274,34.022,29.218
0.192,40.378,57.517,35.097,6.071,32.966,36.149,34.028,29.544
0.163,41.198,56.802,35.320,5.999,32.756,36.013,33.895,29.524
0.172,40.383,57.017,34.932,5.815,32.819,36.434,33.959,29.602
0.162,40.789,57.039,34.836,5.939,33.038,36.530,34.003,29.174
0.191,40.764,57.275,34.880,6.036,32.785,36.005,34.066,28.879
0.184,40.273,56.774,35.164,6.005,33.520,35.732,33.951,29.061
0.150,40.854,57.183,34.572,5.906,33.349,36.050,34.247,29.338
0.204,40.500,57.553,35.315,5.942,33.107,36.308,34.505,29.673
