CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.097,39.843,57.451,35.169,7.399,33.115,37.262,33.624,29.993
0.011,39.615,56.899,35.525,7.429,33.019,36.889,32.794,30.208
0.097,39.638,57.726,34.818,7.535,33.002,37.326,33.476,30.088
0.124,40.391,56.990,35.385,7.642,32.963,37.871,33.385,29.792
0.011,39.546,57.753,35.913,7.466,32.918,36.545,33.731,29.811
0.011,39.523,56.894,35.663,7.395,33.119,37.574,33.250,29.931
0.083,39.911,57.563,35.562,7.403,32.961,37.071,34.346,29.619
0.094,39.839,56.986,35.723,7.279,33.475,37.186,33.240,30.336
0.004,39.789,56.814,35.885,7.349,33.410,37.214,33.283,29.694
0.050,39.659,56.689,35.704,7.495,33.317,37.687,33.475,29.957
0.053,39.898,57.163,35.492,7.610,32.834,37.328,32.922,30.106
0.093,40.077,56.819,35.726,7.484,32.989,37.525,33.597,30.058
0.052,39.597,57.467,35.270,7.524,32.807,37.018,33.715,30.098
0.046,39.526,56.982,35.405,7.182,33.187,37.630,32.771,30.061
0.032,40.306,57.215,35.672,7.573,33.089,36.899,33.603,29.997
0.059,39.683,56.661,35.612,7.143,33.614,37.560,32.918,30.346
0.061,40.193,57.442,35.503,7.609,32.952,37.251,33.594,29.538
0.029,39.656,56.620,34.995,7.613,33.367,36.919,33.280,30.492
0.024,39.922,57.258,35.298,7.610,32.960,37.356,33.743,29.694
0.059,40.105,56.789,35.602,7.435,32.706,36.647,33.387,29.675
0.092,39.861,57.644,35.878,7.696,32.887,37.236,33.334,30.046
0.085,39.950,57.437,35.723,7.739,33.177,37.668,33.323,30.291
0.027,39.917,57.448,35.314,7.424,33.436,37.050,33.863,29.538
0.045,40.254,57.216,35.445,7.485,33.293,37.360,33.299,30.178
0.047,39.647,57.132,34.956,7.409,33.122,37.375,33.001,30.007
0.017,40.066,56.574,35.224,7.518,33.250,36.990,33.252,30.189
0.074,39.709,57.292,36.028,7.485,33.288,37.374,33.535,30.213
0.034,39.497,57.524,35.183,7.505,32.917,37.001,33.756,30.264
0.039,39.983,57.409,35.427,7.393,33.407,37.783,33.627,29.867
0.009,40.036,56.882,35.542,7.597,33.462,36.592,33.781,30.108
0.022,39.473,57.420,35.691,7.441,33.630,37.290,33.204,29.847
0.002,39.485,57.679,35.668,7.276,33.109,37.127,33.404,30.180
0.033,39.302,57.317,35.538,7.444,34.009,37.024,33.515,30.334
0.028,39.437,57.593,35.720,7.419,32.975,37.267,33.591,30.000
0.005,40.134,57.081,35.508,7.333,33.338,36.525,33.200,29.936
0.061,40.130,57.090,35.148,7.282,33.111,37.105,33.614,30.202
0.054,39.872,57.448,35.360,7.376,33.453,37.284,33.152,29.829
0.041,39.786,57.074,35.533,7.652,32.913,37.137,33.269,29.963
0.004,39.828,57.085,35.842,7.432,32.960,37.515,32.818,29.810
0.043,39.471,56.614,35.589,7.390,32.863,37.558,33.269,30.129
0.150,40.150,56.831,35.242,7.482,33.320,37.450,33.096,29.725
0.083,39.811,57.214,35.739,7.522,33.371,37.481,33.243,30.260
0.064,39.564,57.234,35.712,7.502,33.610,37.366,33.751,29.740
0.008,39.859,56.768,35.166,7.580,33.092,37.061,33.501,30.058
0.001,39.896,57.191,35.087,7.448,33.204,37.067,33.501,30.163
0.037,39.773,56.809,35.368,7.522,32.863,37.220,33.612,29.994
0.047,39.240,57.129,35.040,7.460,33.276,37.076,33.656,29.794
0.031,39.947,56.769,35.867,7.239,33.568,37.160,33.607,29.986
0.008,39.703,57.962,35.899,7.478,33.453,37.375,33.709,29.876
0.045,39.510,57.348,35.474,7.606,32.973,36.951,33.344,29.765
0.010,39.953,57.058,36.083,7.440,33.447,36.853,33.609,30.082
0.034,39.952,56.687,35.499,7.516,32.827,37.289,33.350,30.291
0.014,39.231,57.456,35.620,7.447,33.025,37.082,33.474,29.822
0.035,39.859,56.819,35.755,7.401,33.854,37.393,33.565,29.763
0.111,39.934,56.901,35.095,7.445,33.242,37.505,33.395,29.934
0.046,39.536,57.042,35.332,7.654,33.281,37.006,33.096,30.063
0.027,39.444,57.834,35.653,7.517,32.967,37.388,33.251,29.839
0.043,39.872,57.098,36.037,7.421,33.165,37.992,33.382,29.940
0.041,40.093,57.019,35.252,7.559,33.302,37.676,33.293,30.195
0.078,39.971,56.843,35.028,7.450,33.511,37.516,33.802,30.057
0.021,40.107,57.385,35.417,7.470,33.091,37.322,33.699,29.856
0.018,39.931,56.986,35.133,7.628,33.099,37.178,33.539,29.915
0.092,39.653,56.990,34.846,7.615,32.913,37.078,33.515,30.320
0.020,40.052,57.377,35.404,7.281,33.203,37.453,33.549,29.994
0.062,39.640,57.201,35.542,7.283,33.410,37.387,33.289,29.902
0.005,40.292,57.927,35.452,7.528,33.295,37.354,33.932,29.985
0.135,40.374,57.281,35.530,7.337,33.322,37.311,33.108,29.853
0.037,39.884,57.043,35.531,7.570,33.329,37.406,32.937,30.034
0.064,40.289,57.127,35.707,7.576,33.352,37.325,33.341,30.450
0.059,39.585,57.248,35.380,7.408,33.351,37.501,33.616,29.889
0.111,39.502,56.847,35.425,7.418,32.939,37.006,33.314,30.079
0.040,39.608,57.277,35.715,7.539,33.100,37.277,33.610,29.930
0.047,40.195,56.909,35.210,7.590,33.282,37.380,33.276,30.506
0.016,40.229,56.969,34.812,7.556,33.035,37.443,32.851,29.835
0.110,40.517,57.592,35.254,7.288,33.324,37.449,33.552,30.073
0.064,39.660,57.780,35.417,7.521,33.503,37.382,33.407,29.830
0.013,39.824,57.909,35.101,7.376,33.263,37.189,33.474,29.806
0.047,39.744,56.999,35.654,7.223,33.285,37.268,33.758,29.844
0.064,39.624,57.301,35.578,7.388,33.536,37.245,33.653,30.295
0.041,39.578,57.509,35.349,7.520,32.900,37.294,33.343,30.022
0.072,39.495,57.154,35.024,7.403,33.074,36.983,33.074,30.230
0.064,39.770,57.433,35.855,7.579,33.362,37.546,33.489,29.967
0.024,39.682,57.584,35.772,7.269,33.213,36.768,33.229,29.853
0.090,39.849,56.557,35.376,7.390,33.377,37.074,33.016,29.996
0.015,39.928,57.477,35.833,7.349,33.585,37.502,33.843,30.728
0.034,39.657,57.090,35.439,7.446,33.284,37.006,33.340,29.491
0.036,40.508,56.782,35.357,7.521,33.410,37.341,33.953,30.575
0.050,40.146,57.398,35.590,7.443,33.324,37.332,33.919,29.748
0.074,39.733,56.744,35.522,7.247,33.061,37.029,33.625,29.913
0.049,39.493,57.027,35.456,7.417,33.413,37.274,33.819,30.004
0.038,39.755,57.419,34.630,7.591,33.636,37.313,33.104,30.127
0.014,40.072,57.513,35.247,7.434,33.018,37.268,33.524,29.786
0.080,39.797,57.240,35.425,7.637,33.539,37.548,33.559,29.848
0.077,40.054,56.776,35.118,7.505,33.204,37.158,33.561,30.083
0.018,39.607,57.058,35.371,7.572,33.156,37.078,33.185,30.248
0.027,39.803,58.218,35.478,7.561,33.663,37.390,33.048,30.230
0.028,40.084,57.279,35.828,7.483,33.000,37.414,33.235,30.232
0.108,40.131,56.832,35.002,7.426,33.260,37.453,33.387,29.743
0.080,40.025,56.598,34.961,7.477,33.081,37.481,33.606,29.763
0.055,39.366,56.681,35.622,7.389,33.658,37.275,33.050,29.642
0.002,39.726,57.176,35.394,7.484,33.335,37.419,33.591,29.910
0.061,39.901,57.224,35.638,7.316,32.761,37.288,33.402,30.007
