CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.058,40.310,58.254,36.551,7.999,34.558,38.164,34.714,31.270
0.081,40.877,59.178,36.522,8.088,33.991,38.582,34.622,31.600
0.010,41.080,58.235,36.573,8.004,34.037,38.190,34.388,31.410
0.007,40.963,59.028,36.215,7.722,34.493,38.290,34.701,31.016
0.115,41.469,58.253,36.338,8.021,34.305,38.629,34.775,30.937
0.040,41.490,58.552,36.832,7.955,34.595,38.200,34.697,31.516
0.093,41.042,58.406,36.620,7.779,34.236,38.116,34.756,31.004
0.090,40.993,58.357,36.478,8.069,34.459,37.983,34.886,31.144
0.049,40.763,58.342,36.632,8.124,34.173,38.364,34.552,31.165
0.065,41.103,57.894,36.528,8.085,34.405,38.149,34.522,31.110
0.112,40.904,57.864,36.659,8.198,34.236,37.797,35.192,31.444
0.107,40.551,58.256,36.360,7.682,34.077,39.003,34.731,30.932
0.069,41.076,58.966,36.492,7.949,34.131,38.472,34.051,31.488
0.082,41.159,58.539,36.132,8.072,33.985,38.311,34.524,31.249
0.009,40.140,58.470,36.541,7.984,34.230,38.189,34.834,31.127
0.057,41.008,58.959,36.531,8.101,33.923,38.149,34.922,31.361
0.097,40.343,58.112,36.325,7.872,34.301,38.423,34.988,31.062
0.124,41.078,58.475,36.117,8.080,34.181,38.342,35.123,31.437
0.058,40.942,58.056,36.352,8.053,33.693,38.297,34.651,31.560
0.086,41.286,58.413,36.469,8.031,34.174,38.651,34.531,31.350
0.005,40.750,58.478,36.609,8.119,33.990,38.172,34.676,31.442
0.132,40.992,58.122,36.654,7.896,34.014,38.297,34.865,31.198
0.103,40.305,58.707,36.856,7.698,34.310,38.524,34.480,31.332
0.086,40.368,58.005,36.217,7.884,34.036,38.387,34.608,31.213
0.115,40.712,58.071,36.545,8.128,34.313,38.029,34.844,31.201
0.078,41.141,58.041,36.694,8.031,34.122,37.725,35.262,31.458
0.096,41.231,58.286,36.568,8.012,34.350,38.174,34.876,31.072
0.143,40.973,58.484,36.720,7.976,34.201,38.835,34.747,31.118
0.092,40.511,58.903,36.592,7.683,34.258,38.376,34.955,30.948
0.072,40.975,58.861,36.739,8.001,34.663,38.089,34.612,31.703
0.083,40.632,58.806,36.372,7.956,33.828,38.475,34.793,31.048
0.139,40.413,57.982,35.977,8.003,34.132,38.117,34.829,31.112
0.103,41.230,57.898,36.188,7.982,34.062,38.461,34.458,31.425
0.072,40.552,58.254,36.898,7.989,34.614,38.078,34.584,30.714
0.134,41.145,58.373,36.528,7.908,34.002,38.172,35.305,31.258
0.074,40.637,58.415,36.238,7.878,34.127,38.496,34.672,31.187
0.035,40.735,58.530,36.065,7.949,34.100,38.311,34.831,31.197
0.059,40.578,58.620,36.196,7.864,34.162,38.457,35.012,31.374
0.057,40.765,58.108,36.721,8.231,34.428,38.072,34.877,31.481
0.080,41.102,58.893,36.520,7.843,34.040,37.818,34.755,31.339
0.076,40.615,58.738,36.342,8.083,34.203,37.572,34.565,31.286
