CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.140,39.063,56.260,34.830,7.061,32.418,37.180,32.481,29.465
0.117,39.111,56.535,35.081,7.194,32.407,36.587,32.905,29.508
0.062,39.361,56.734,35.040,7.169,32.471,36.173,32.692,29.839
0.063,39.153,56.286,34.738,7.119,32.263,36.138,32.970,29.104
0.062,39.191,56.699,34.893,7.158,32.175,36.822,32.572,29.173
0.090,39.219,57.184,35.148,7.224,32.194,37.092,32.889,29.781
0.098,39.437,56.730,35.314,7.288,32.313,36.794,32.858,29.398
0.125,38.903,56.537,35.062,7.272,31.768,36.762,32.771,29.058
0.111,39.261,56.620,34.984,7.170,32.380,36.683,32.956,29.245
0.049,39.077,57.023,35.012,7.352,32.580,36.736,32.747,29.386
0.062,39.711,56.305,35.252,7.420,32.270,36.641,32.879,29.357
0.088,39.376,56.553,35.311,7.309,32.684,36.532,32.404,29.440
0.116,39.164,56.515,35.325,7.452,32.389,36.753,32.375,29.266
0.078,39.246,56.601,35.114,7.484,32.079,36.951,32.554,29.309
0.072,38.970,56.675,35.300,7.177,32.440,36.801,32.560,29.693
0.104,39.403,56.601,35.035,7.247,32.511,36.951,32.731,28.952
0.073,38.913,56.954,34.628,7.118,32.522,36.956,32.845,29.874
0.051,39.193,56.580,34.775,7.265,32.605,36.945,32.380,29.201
0.075,39.066,56.616,34.976,7.052,31.907,36.149,32.833,29.264
0.101,39.164,56.444,35.141,7.117,32.266,36.868,32.989,29.395
0.161,39.425,57.076,34.527,7.234,32.154,36.687,33.069,29.451
0.153,39.076,56.783,34.787,7.279,32.850,36.333,32.655,29.354
0.074,39.147,56.407,34.989,7.197,32.544,36.495,32.681,29.622
0.161,39.726,56.807,35.093,7.238,32.208,36.718,32.629,29.170
0.065,38.964,56.863,35.164,7.178,32.342,35.839,32.762,29.093
0.065,39.294,56.172,34.691,7.339,32.056,36.582,32.553,29.385
0.061,39.163,56.680,34.929,7.205,32.371,36.740,32.644,29.431
0.146,39.499,56.676,35.218,7.107,32.261,36.602,33.158,29.818
0.176,38.958,57.052,34.787,7.274,32.284,36.735,32.536,29.398
0.070,39.786,56.703,35.106,7.335,32.100,36.590,32.912,29.469
0.111,39.461,56.866,34.962,7.551,32.464,36.692,32.468,29.290
0.002,39.259,56.581,35.190,7.192,31.929,37.026,32.829,29.366
0.029,39.170,56.927,35.115,7.139,32.452,36.474,32.908,29.261
0.037,39.040,56.048,34.845,7.275,32.183,36.524,32.474,29.247
0.052,38.993,56.248,35.269,7.085,32.202,36.766,32.739,29.868
0.141,39.290,56.725,34.893,7.515,32.437,36.443,32.395,29.301
0.148,39.240,56.738,35.006,7.299,32.482,36.458,33.089,29.601
0.067,39.342,56.609,35.049,7.159,32.410,36.618,32.681,29.146
0.094,39.017,56.766,35.307,7.234,32.429,36.931,32.752,29.459
0.076,39.092,56.493,34.487,7.255,32.834,36.482,32.671,29.967
0.022,38.920,56.576,34.959,7.233,31.855,37.168,33.160,29.580
0.108,39.789,56.153,35.279,6.954,32.381,36.689,32.594,29.325
0.063,39.404,56.461,35.235,7.334,32.608,36.273,33.054,29.570
0.096,39.211,56.038,35.496,7.002,32.569,36.399,33.017,29.327
0.132,39.149,56.607,34.992,7.165,32.082,36.787,32.727,29.036
