CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.389,41.989,60.027,36.782,7.932,35.864,38.692,36.774,31.478
0.477,42.291,59.739,36.939,7.976,35.753,38.521,36.653,31.894
0.438,42.765,59.545,37.015,8.200,35.349,39.019,36.380,32.209
0.417,42.530,59.830,37.188,8.041,35.377,38.456,36.911,32.310
0.425,42.315,59.550,36.851,8.068,35.865,39.221,36.449,31.682
0.292,42.415,59.420,36.828,8.050,35.206,38.910,36.750,32.035
0.432,42.254,59.701,36.828,7.999,35.616,39.343,36.720,31.966
0.306,42.534,59.721,37.129,7.840,36.005,38.589,36.735,31.623
0.372,42.069,59.580,36.722,8.208,35.654,39.083,36.579,32.116
0.348,42.379,60.194,36.935,7.860,35.924,39.138,36.454,32.211
0.348,42.418,60.021,36.960,7.950,35.907,38.435,36.600,32.362
0.471,41.854,59.940,36.989,7.979,35.861,38.626,36.834,32.029
0.346,42.527,59.241,36.872,8.033,35.813,38.753,36.693,31.433
0.307,42.512,59.471,36.969,7.979,35.844,38.641,36.937,31.899
0.417,42.098,59.156,36.975,7.902,35.608,38.949,36.734,31.620
0.306,42.013,59.204,36.745,8.181,35.298,38.914,36.353,31.925
0.356,42.186,59.491,37.090,8.181,35.654,38.605,36.506,31.634
0.425,42.431,59.280,37.078,7.963,35.915,38.739,36.790,31.673
0.346,42.205,59.832,37.109,8.160,35.675,38.730,36.100,31.952
0.367,41.749,59.635,37.323,8.115,35.590,38.796,36.684,31.865
0.334,41.905,59.673,36.896,8.074,35.928,38.844,36.422,31.987
0.498,41.822,59.612,36.502,8.013,36.097,39.244,36.508,31.756
0.288,42.440,58.782,37.014,8.041,35.806,38.696,36.394,32.018
0.406,42.247,59.993,36.333,8.061,35.627,39.152,36.697,32.036
0.367,41.834,59.593,36.518,7.895,35.349,39.157,36.647,31.848
0.348,41.979,59.746,37.212,7.823,35.350,38.984,37.048,32.195
0.345,42.317,59.633,37.074,7.860,35.853,38.779,36.460,31.898
0.342,42.300,60.135,36.980,8.008,36.009,39.120,36.560,32.031
0.307,42.119,59.303,36.658,7.875,35.575,38.301,36.484,31.860
0.351,42.071,59.710,36.655,8.217,35.616,38.874,36.740,31.887
0.371,41.832,59.504,36.102,8.140,35.833,38.916,36.621,31.560
0.361,42.142,59.472,37.051,8.053,35.856,39.345,36.537,32.225
0.355,42.286,59.606,36.622,7.919,35.824,38.391,36.619,31.904
0.222,42.348,60.076,37.078,8.059,35.975,39.014,36.411,31.598
0.441,42.629,59.238,36.626,7.899,35.819,39.172,36.372,31.496
0.333,42.306,59.389,36.776,8.036,35.674,38.535,36.899,31.977
0.425,41.985,59.755,36.551,8.030,35.768,38.295,36.343,31.949
0.366,42.069,59.766,36.590,7.952,35.847,38.923,35.972,32.022
0.356,42.237,59.640,37.155,7.954,35.893,38.361,36.514,31.703
0.297,42.146,59.593,36.832,7.994,35.901,39.204,36.927,32.187
0.315,42.097,59.287,37.471,8.044,35.587,38.900,36.516,31.655
0.385,42.377,59.868,36.378,8.141,35.277,39.087,36.544,32.082
