CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.146,41.646,59.062,36.384,7.660,35.245,37.919,36.118,31.587
0.149,41.899,58.295,36.369,7.862,34.824,38.099,36.315,30.851
0.123,42.253,58.853,36.087,7.773,35.304,38.246,35.941,31.099
0.139,41.439,59.160,36.713,7.762,35.333,38.583,36.110,30.854
0.178,41.573,58.959,36.481,7.448,35.195,38.287,35.812,31.167
0.132,41.514,59.082,36.363,7.667,35.422,38.185,35.956,31.372
0.109,41.776,58.645,36.776,7.546,35.345,37.941,36.273,31.348
0.215,42.059,58.694,36.592,7.497,34.951,38.191,36.128,31.523
0.105,41.739,59.042,36.510,7.751,35.277,37.833,35.841,31.245
0.103,41.449,58.527,36.206,7.702,35.054,38.320,36.379,31.254
0.183,42.111,58.541,36.209,7.737,34.950,38.404,35.874,31.436
0.088,41.255,58.827,36.662,7.696,35.135,37.945,35.889,31.349
0.154,42.245,59.152,35.878,7.818,35.201,37.965,36.380,31.359
0.182,41.741,58.445,35.951,7.483,35.707,38.056,36.106,31.136
0.146,42.011,59.458,36.511,7.881,35.761,38.504,35.622,31.321
0.157,42.163,58.886,36.497,7.772,35.163,38.118,35.653,31.253
0.150,41.350,59.034,36.079,7.660,35.354,37.960,35.979,31.582
0.185,41.498,58.431,35.967,7.588,35.380,38.418,35.881,31.569
0.199,41.843,59.213,36.331,7.672,34.911,37.909,35.914,31.258
0.244,41.390,58.871,36.615,7.653,35.423,37.962,36.197,31.435
0.140,41.707,58.732,36.872,7.619,35.245,38.000,36.035,31.770
0.214,41.655,58.606,36.693,7.692,35.445,38.012,36.039,31.306
0.167,41.908,58.880,36.224,7.664,35.085,38.283,35.864,31.094
0.147,41.277,58.590,36.431,7.678,35.253,38.481,35.876,31.173
0.078,41.972,58.724,36.736,7.674,35.341,38.337,36.241,30.880
0.181,41.696,58.878,36.411,7.601,34.654,38.711,36.110,31.077
0.148,41.382,58.584,36.482,7.573,35.098,38.163,35.737,31.084
0.144,42.106,58.819,36.590,7.634,35.152,38.232,36.139,31.284
0.134,41.574,59.270,36.554,7.634,34.925,37.438,36.026,31.281
0.187,41.751,59.005,36.305,7.629,35.240,37.989,35.772,31.229
0.128,42.139,58.582,36.140,7.643,34.807,38.373,35.917,31.722
0.139,41.356,59.251,36.303,7.650,35.493,38.326,36.017,31.710
0.118,41.923,58.908,36.535,7.562,34.910,38.189,35.677,31.386
