CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.008,39.630,56.581,34.226,5.365,32.598,35.298,33.193,28.593
0.037,39.746,56.370,34.336,5.426,32.306,35.056,33.463,28.136
0.030,39.811,55.803,33.708,5.362,32.269,34.833,33.207,28.371
0.025,39.993,56.700,34.277,5.362,32.446,34.956,33.351,28.137
0.097,39.897,56.428,34.480,5.412,32.332,34.600,33.168,28.144
0.066,39.742,56.684,33.929,5.330,32.337,34.907,33.239,28.188
0.054,40.092,55.916,33.900,5.230,32.056,34.727,33.389,28.310
0.064,39.939,56.760,34.350,5.107,32.103,34.733,33.505,28.253
0.014,39.585,56.885,34.455,5.425,32.663,34.831,33.084,28.351
0.110,39.406,56.322,34.243,5.272,32.004,34.880,33.485,28.292
0.120,39.335,57.671,34.040,5.428,32.193,34.823,33.044,28.151
0.026,39.848,57.255,33.745,5.228,32.559,34.609,32.931,28.328
0.092,39.932,56.422,33.913,5.386,32.290,34.550,33.431,28.687
0.011,39.460,56.427,34.288,5.204,32.254,35.086,33.079,28.269
0.009,40.099,56.411,34.281,5.373,32.661,34.857,33.022,28.173
0.067,39.779,56.123,33.845,5.408,32.734,34.703,33.659,28.285
0.049,39.906,56.191,34.096,5.340,32.120,34.586,33.221,28.283
0.084,39.745,55.916,33.907,5.285,32.015,34.946,33.027,28.354
0.050,39.343,56.987,33.772,5.356,32.818,35.049,33.212,28.420
0.088,39.788,56.279,34.235,5.426,32.755,34.940,33.061,28.528
0.079,39.699,56.510,34.334,5.473,32.681,34.596,33.160,28.053
0.030,39.527,56.311,34.146,5.197,32.304,34.839,33.032,28.586
0.065,40.237,56.619,33.770,5.277,32.359,34.481,33.478,28.534
0.040,39.842,56.618,34.104,5.367,32.455,34.786,33.957,28.527
0.029,39.974,56.627,34.654,5.550,32.142,34.777,33.692,27.919
0.035,40.021,56.046,34.344,5.420,32.127,34.927,33.595,28.243
0.056,39.288,56.499,34.209,5.352,32.388,34.667,33.218,28.278
0.008,40.105,56.194,34.342,5.461,32.328,34.741,33.502,28.244
0.010,39.912,56.266,34.100,5.263,32.385,34.713,32.989,28.146
0.024,40.156,56.265,34.272,5.509,32.239,34.716,32.903,28.242
0.073,39.574,56.932,34.058,5.551,32.546,34.777,33.597,28.050
0.027,39.778,56.551,33.948,5.370,32.420,34.688,33.002,28.297
0.003,39.832,57.180,33.885,5.320,31.992,34.958,33.077,27.999
0.073,39.890,56.766,34.426,5.449,32.267,34.841,33.658,28.375
0.059,40.023,56.291,33.598,5.155,32.272,34.905,33.151,28.242
0.003,39.647,56.247,33.995,5.303,32.395,34.640,33.450,28.184
0.074,39.515,56.842,33.749,5.399,32.431,34.613,33.218,28.291
0.005,39.981,56.693,34.053,5.278,32.329,34.714,33.517,28.416
0.056,39.548,56.950,34.246,5.470,32.116,34.869,33.019,28.444
0.005,39.952,56.228,34.313,5.389,32.562,35.565,32.890,28.616
0.117,39.740,56.004,34.440,5.195,32.373,34.795,33.018,28.185
0.085,39.810,56.804,33.655,5.263,32.498,34.840,33.491,28.666
0.007,40.185,57.087,34.020,5.468,32.118,34.988,33.073,28.165
0.068,39.304,56.182,33.644,5.457,32.804,34.937,33.327,28.615
0.039,39.964,56.699,34.131,5.422,32.405,35.094,33.121,28.678
0.043,39.785,56.529,34.237,5.295,32.301,34.896,33.344,28.172
0.020,39.845,56.717,33.913,5.510,32.176,35.208,33.020,28.547
0.069,39.785,56.857,33.689,5.344,32.285,34.717,33.236,28.447
0.029,40.231,56.694,33.987,5.452,32.436,34.832,33.358,28.415
0.068,40.208,56.627,34.132,5.322,32.542,34.730,32.973,28.581
0.014,40.012,56.131,34.106,5.365,32.662,34.671,33.118,28.880
0.033,39.608,56.370,33.930,5.333,32.369,35.327,33.482,28.743
0.080,40.080,56.376,33.999,5.392,32.677,34.695,33.354,27.921
0.020,40.565,56.558,34.438,5.268,31.949,34.774,32.886,28.793
0.028,39.893,56.256,34.666,5.423,32.176,35.112,33.227,28.215
