CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.334,36.256,53.299,31.823,6.089,28.904,33.692,28.270,25.186
0.400,36.141,52.959,32.073,5.915,29.184,33.194,28.160,25.331
0.425,36.232,52.809,31.841,5.970,29.135,33.037,27.907,25.569
0.338,35.555,53.046,31.793,5.959,28.918,33.365,28.150,25.562
0.388,35.751,53.083,31.892,5.930,29.373,33.538,28.442,25.489
0.282,35.848,52.756,31.718,5.949,29.285,33.579,28.239,25.461
0.344,36.231,53.294,32.172,6.140,28.907,33.524,28.315,25.617
0.331,35.860,53.570,31.997,6.022,29.133,33.542,28.596,25.468
0.321,35.904,51.947,31.664,5.994,28.902,33.589,28.715,25.778
0.419,35.815,52.962,32.299,5.901,29.192,33.593,28.472,25.255
0.318,36.224,52.844,31.930,5.936,28.873,33.171,28.411,25.379
0.348,35.912,52.922,31.918,6.140,29.568,33.784,28.318,25.434
0.287,35.617,52.870,31.270,5.871,29.084,33.511,28.554,25.330
0.314,35.595,53.196,32.016,6.004,28.791,33.657,28.564,25.633
0.305,35.876,53.086,32.465,5.976,29.213,32.918,28.224,25.367
0.357,35.547,52.540,31.889,5.938,29.417,33.627,28.007,25.589
0.370,35.914,52.822,31.580,6.108,29.040,33.523,28.641,25.458
0.370,35.614,53.455,32.296,5.741,29.134,33.052,28.517,25.474
0.251,36.294,52.950,32.087,6.047,28.948,33.338,28.057,25.546
0.302,35.894,53.249,31.669,6.119,29.289,33.366,28.498,25.341
0.298,36.465,52.916,31.959,5.947,29.386,33.977,28.509,25.469
0.388,35.999,53.139,31.690,6.127,29.154,33.477,28.234,25.371
0.282,36.212,53.265,32.195,5.782,29.227,33.824,28.532,25.708
0.327,35.920,53.432,31.800,5.806,28.658,33.327,28.266,25.305
0.395,35.844,53.324,32.128,5.946,29.026,33.397,28.153,25.116
0.397,36.110,53.244,32.444,6.008,29.190,33.016,28.459,25.709
0.310,35.832,52.759,31.897,6.140,29.107,33.451,28.394,25.371
0.273,35.729,52.200,31.719,6.024,29.129,33.252,28.309,25.369
0.287,35.678,52.879,32.252,5.730,29.192,33.001,28.636,25.289
0.295,35.787,53.156,31.285,6.077,29.259,33.162,28.139,25.624
0.276,35.997,53.148,31.753,6.049,28.696,33.549,28.742,25.584
0.391,35.802,52.959,31.921,5.951,29.245,33.249,28.472,25.712
0.251,35.631,52.744,31.959,5.931,29.468,33.333,28.150,25.354
0.283,35.315,53.545,31.594,5.980,29.021,33.716,28.376,25.677
0.295,35.722,52.750,32.184,5.830,28.878,34.070,28.351,25.321
0.256,35.943,53.126,31.842,5.918,29.014,33.361,28.208,25.273
0.290,35.935,53.459,31.639,6.065,29.120,33.326,28.540,25.590
0.397,35.790,52.580,32.121,6.131,29.364,33.802,28.539,25.394
0.334,35.750,52.546,31.572,5.872,29.335,33.472,28.433,25.590
0.333,35.596,53.016,31.888,5.993,29.468,33.071,28.471,25.534
0.284,36.063,53.072,32.007,6.075,29.402,34.191,28.658,25.831
0.391,35.853,54.002,31.757,5.949,29.394,33.252,28.463,25.824
0.370,35.800,52.788,32.457,5.963,29.319,33.270,28.133,25.517
0.374,36.033,53.196,31.980,6.075,28.664,33.973,28.320,25.422
0.393,35.873,52.948,32.057,5.954,29.035,33.475,28.657,25.800
0.305,35.995,53.398,31.972,5.991,28.946,33.533,28.503,24.981
0.318,36.086,52.890,32.047,5.883,29.052,33.864,28.274,25.459
0.283,36.128,52.584,32.236,5.872,28.999,33.321,28.417,25.572
0.361,36.207,53.202,32.008,5.893,29.060,33.076,28.914,25.717
0.325,36.234,53.209,31.227,5.900,28.969,33.396,28.641,25.380
0.381,36.013,53.240,32.090,5.861,29.463,33.449,28.423,25.533
0.272,35.546,52.910,31.859,6.048,29.317,33.260,28.487,25.214
0.277,35.802,52.856,31.890,6.014,29.362,33.529,28.291,25.288
0.232,35.883,53.232,31.554,6.046,29.234,33.633,28.517,25.336
0.331,35.872,53.112,32.278,6.126,28.833,33.329,28.324,25.784
0.196,35.920,53.394,32.114,6.021,28.935,33.716,28.450,25.355
0.329,35.781,53.056,32.041,6.067,29.255,33.360,28.479,25.273
0.304,35.331,53.200,32.304,6.082,29.166,33.781,28.509,25.579
0.351,36.255,52.708,32.085,6.078,28.723,33.378,28.398,25.112
0.310,36.150,53.309,31.778,5.891,29.214,33.934,28.545,25.476
0.381,35.900,52.841,31.845,6.157,29.297,33.219,28.109,25.739
0.437,35.801,52.579,31.785,5.955,28.615,32.885,28.582,25.818
0.324,35.587,53.070,31.530,5.902,29.176,33.156,28.373,25.471
0.281,35.788,53.043,31.881,5.940,29.152,33.702,28.250,25.777
0.316,35.375,52.435,31.866,6.100,29.242,33.171,28.391,25.286
0.357,35.921,52.965,31.614,6.216,28.932,33.308,28.494,25.723
0.396,36.278,52.781,32.111,5.966,29.358,33.666,28.564,25.420
0.311,35.983,52.823,31.458,6.076,28.625,33.592,28.323,25.146
0.312,35.774,52.609,31.809,5.845,29.245,33.554,28.793,25.483
0.338,35.970,53.310,31.882,6.079,28.899,33.428,28.586,25.652
0.330,35.795,53.044,31.975,6.078,28.817,33.255,28.393,25.489
0.378,35.495,53.050,32.073,6.058,29.046,33.577,28.421,25.219
0.269,36.040,53.696,31.690,6.065,29.296,33.232,28.555,25.425
0.377,36.361,53.383,31.558,6.291,29.131,33.306,28.263,25.488
0.340,35.633,53.098,31.932,5.864,28.921,33.735,28.025,25.455
0.267,35.556,53.176,31.832,5.917,28.997,33.616,28.719,25.711
0.354,36.080,53.168,31.513,5.861,29.124,33.587,28.767,25.732
0.367,36.113,52.976,31.461,6.169,28.880,33.011,28.355,25.518
0.337,35.694,52.765,31.955,6.034,28.827,33.549,28.498,25.877
0.360,35.886,53.350,31.849,5.861,29.154,33.569,28.548,25.456
0.328,36.296,53.038,31.594,5.803,28.950,33.229,28.865,25.576
0.286,35.827,52.903,31.812,6.000,28.854,33.400,28.377,25.522
0.316,35.886,52.838,32.075,5.736,29.308,33.351,28.405,25.402
0.288,35.495,52.442,31.796,5.793,29.223,33.487,28.495,25.569
0.340,35.733,53.420,31.755,6.081,29.089,33.544,28.579,25.541
0.314,35.821,53.210,31.749,5.905,29.151,33.427,29.013,25.170
0.261,35.716,53.728,31.701,6.190,28.930,33.351,28.514,25.507
0.295,35.741,53.371,31.927,5.898,29.079,33.345,28.325,25.895
0.368,35.390,53.279,32.304,6.129,28.975,33.762,28.307,25.456
0.319,35.863,52.921,31.721,5.963,29.152,34.022,28.581,25.633
0.265,35.553,53.093,31.900,5.847,29.389,33.588,28.455,25.461
0.323,35.501,53.064,31.925,5.974,29.511,33.622,28.250,25.332
0.383,35.512,52.864,31.808,5.917,29.387,33.326,28.262,25.443
0.369,35.929,53.051,31.457,5.927,28.981,33.359,28.561,25.958
0.337,35.821,53.395,32.309,6.036,29.071,33.408,28.370,25.482
0.305,35.472,52.719,32.161,5.922,28.942,33.430,28.457,25.541
0.262,35.530,53.770,31.597,5.901,28.667,33.343,27.945,25.030
0.297,35.769,53.102,32.087,5.844,28.879,33.666,28.306,25.108
0.326,35.870,52.722,31.737,5.960,29.202,33.213,28.064,25.219
0.414,35.489,52.906,32.340,6.004,29.211,33.379,28.596,25.605
0.276,35.632,52.677,31.682,5.991,29.049,33.470,28.455,25.617
0.349,35.842,52.493,31.984,5.979,29.163,33.611,28.301,25.453
0.335,36.149,52.677,31.856,5.971,28.837,33.360,28.246,25.617
0.294,35.469,52.568,31.972,6.185,29.392,33.534,28.491,25.055
0.328,35.637,52.956,31.782,5.824,28.956,33.629,28.173,25.854
0.371,35.077,52.337,32.011,6.155,29.026,33.437,28.222,25.542
0.361,36.212,52.785,32.062,6.034,28.665,33.213,28.166,25.737
0.312,35.278,52.430,32.114,6.010,28.864,33.687,28.362,25.711
0.424,36.220,52.768,31.688,6.072,28.716,33.714,28.706,25.718
0.340,35.373,52.409,31.856,6.005,28.847,33.344,28.462,25.849
0.325,36.046,53.084,32.026,5.922,28.996,33.306,28.850,25.404
0.267,35.873,53.089,31.725,5.797,29.318,33.389,28.652,25.801
0.308,36.151,52.361,32.293,5.924,29.178,33.343,28.660,25.457
0.316,35.706,53.111,31.877,5.948,29.479,33.710,28.487,25.216
0.337,35.824,53.139,32.192,5.912,28.980,33.243,28.423,25.520
0.347,35.941,53.342,31.304,5.980,28.582,33.604,28.680,25.392
0.316,35.961,53.110,31.841,6.210,28.985,33.066,28.683,25.372
0.342,35.436,53.021,31.317,6.207,28.910,33.520,28.696,25.533
0.359,36.357,52.924,32.139,6.079,29.306,33.259,28.471,25.586
0.305,35.902,53.217,32.196,5.904,29.088,33.303,28.416,25.463
0.278,36.129,52.662,32.002,5.966,28.898,32.942,28.416,25.595
0.333,35.668,52.920,32.240,5.845,29.316,32.798,28.502,25.734
0.332,35.940,53.438,31.411,5.982,28.871,33.716,28.795,25.040
0.409,35.498,53.437,32.392,6.073,28.884,33.287,28.152,25.474
