CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.150,40.162,56.469,34.613,5.772,32.964,36.032,33.469,28.573
0.047,40.661,57.117,34.502,5.738,32.234,35.740,33.712,28.974
0.048,40.251,56.462,34.818,5.814,32.416,35.312,33.648,29.115
0.020,39.953,57.120,34.837,5.779,32.456,35.646,33.773,28.742
0.068,40.191,56.136,34.720,5.681,32.582,35.728,33.661,29.190
0.175,40.026,56.757,34.845,5.908,32.517,35.458,33.793,28.582
0.069,40.129,56.868,34.711,5.650,32.412,35.330,33.593,28.590
0.043,40.145,56.840,34.340,5.609,32.620,35.820,33.553,28.837
0.103,40.294,56.828,34.760,5.686,32.837,35.268,33.974,29.031
0.052,40.230,56.799,34.399,5.694,33.024,35.658,33.700,28.740
0.132,40.134,56.516,34.475,5.711,32.918,35.546,33.482,28.873
0.083,40.125,56.729,34.556,5.758,32.577,35.183,33.676,28.900
0.098,40.045,56.803,34.409,5.906,32.916,35.851,33.846,28.591
0.078,40.462,56.543,34.689,5.854,32.666,35.887,33.407,29.015
0.110,39.822,56.678,34.364,5.827,32.311,35.686,33.717,28.905
0.109,39.915,56.328,34.226,5.881,32.436,35.405,33.623,28.787
0.062,39.569,56.168,34.353,5.967,32.389,36.023,34.097,28.816
0.064,39.973,56.510,34.920,5.839,32.491,35.491,33.980,28.539
0.140,40.083,56.642,34.294,5.837,32.456,35.327,33.855,28.780
0.098,40.356,56.569,34.350,5.633,32.067,35.623,33.608,28.636
0.049,40.218,56.881,34.538,5.858,32.349,35.546,33.868,29.165
0.077,40.227,56.703,34.487,5.709,32.301,35.878,33.325,28.691
0.117,40.223,56.823,34.294,5.944,32.683,35.600,33.372,29.054
0.159,40.161,56.338,34.738,6.074,32.858,35.349,33.707,29.120
0.052,40.034,56.651,33.949,5.820,32.707,35.878,33.495,28.331
0.132,40.332,57.371,34.519,5.921,32.264,35.112,33.898,28.639
0.101,40.276,56.996,34.634,5.868,32.201,35.520,34.328,29.009
0.059,39.951,57.356,34.451,5.825,32.675,35.381,33.616,29.000
0.139,40.149,56.557,34.513,5.747,31.956,35.414,34.056,28.965
0.057,40.040,57.127,34.181,5.842,32.628,35.697,33.898,29.020
0.067,40.018,56.791,34.508,5.767,32.062,35.374,33.224,28.958
0.036,40.323,56.801,34.367,5.906,32.178,35.958,34.096,28.921
0.105,39.972,56.884,34.381,5.642,32.168,35.185,33.262,29.030
0.042,39.740,56.680,34.930,6.033,32.498,35.774,33.616,29.002
0.055,40.155,56.744,34.448,5.741,32.596,35.378,33.727,28.899
0.098,40.710,56.263,34.286,5.781,32.750,35.244,33.686,28.817
0.072,40.332,56.923,34.437,5.822,32.574,35.745,33.445,29.023
0.129,40.299,56.790,34.561,5.768,32.357,35.449,33.516,29.030
0.042,40.104,57.091,34.458,6.016,32.188,35.672,33.664,28.687
0.112,39.984,56.709,34.419,5.785,32.395,35.535,34.056,28.957
0.088,40.188,56.253,34.791,5.701,32.765,35.235,33.433,28.510
0.111,39.909,56.289,34.540,5.662,32.941,35.203,33.930,28.857
0.085,39.913,56.623,34.211,5.743,32.363,35.485,33.795,28.334
0.099,40.507,56.630,34.364,5.805,32.576,35.697,33.587,28.627
0.016,40.652,56.603,34.636,5.907,32.433,35.339,33.578,28.578
0.008,39.752,56.440,34.364,5.778,32.602,35.816,33.440,28.954
0.129,40.202,56.701,34.510,5.764,32.294,35.557,33.792,29.385
0.034,40.730,56.840,34.254,5.903,32.496,35.465,33.565,28.340
0.072,39.875,56.856,34.188,5.739,32.746,35.732,33.786,28.469
0.152,40.372,56.171,34.688,5.662,32.492,35.322,33.600,28.455
0.175,40.264,56.066,34.614,5.678,32.121,35.383,34.307,29.146
0.093,39.757,56.143,34.293,6.048,32.504,35.883,33.972,28.524
0.107,40.016,56.015,34.585,5.845,32.595,35.473,33.944,28.658
0.088,39.988,56.372,34.680,5.870,32.471,35.540,33.681,29.296
0.122,40.039,57.233,34.967,5.866,33.014,35.764,33.261,29.051
0.131,40.382,56.632,34.514,5.726,32.109,35.058,33.936,28.822
0.181,40.015,56.976,34.872,5.757,32.441,35.440,33.295,28.729
0.035,40.031,56.899,34.287,5.817,32.732,35.391,33.620,28.601
0.112,39.849,56.734,34.435,5.690,32.894,35.662,33.751,28.928
0.110,39.889,57.384,34.554,5.610,32.643,35.479,33.265,28.619
0.041,40.413,56.910,35.060,5.710,32.643,36.038,33.740,28.983
0.047,39.779,56.697,34.338,5.735,32.079,35.558,33.714,29.206
0.083,40.062,56.429,34.688,5.778,33.256,35.447,33.528,29.234
0.003,40.451,56.389,35.141,5.668,32.856,35.579,33.605,28.933
0.085,40.323,56.686,34.837,5.728,32.204,35.570,33.411,29.074
0.165,40.104,56.588,34.167,5.789,32.470,35.517,33.649,28.967
0.093,40.173,56.591,34.508,5.704,32.396,35.292,33.151,29.017
0.120,40.366,56.762,34.581,5.872,32.558,35.370,33.733,28.843
0.039,40.083,56.595,34.176,5.909,32.473,35.434,33.656,28.701
0.162,39.904,56.530,34.372,5.773,32.749,35.189,33.536,28.534
0.065,40.321,56.927,34.238,5.732,32.847,35.464,33.990,29.098
0.139,40.160,56.188,34.417,5.871,32.608,35.591,33.668,29.172
0.108,40.225,56.596,34.466,5.742,32.640,35.737,33.810,28.806
0.070,40.658,56.651,34.228,5.944,32.482,34.922,33.535,28.917
0.179,40.176,56.906,35.146,5.907,32.720,35.648,33.469,28.786
0.090,40.012,56.214,34.535,5.635,32.374,35.191,33.709,29.052
0.060,40.022,56.859,34.461,5.753,32.581,35.664,33.883,28.547
0.052,39.731,56.221,34.853,5.959,32.927,35.655,33.910,28.539
0.040,40.533,56.128,34.825,5.861,32.745,35.823,34.055,28.890
0.110,40.016,56.498,34.301,5.760,32.427,35.230,33.592,28.813
0.033,40.053,56.437,34.543,5.832,32.531,35.226,33.792,28.286
0.057,40.395,56.284,34.399,5.708,32.273,35.479,33.672,28.732
0.025,40.117,56.155,34.660,5.538,32.666,35.350,34.030,28.818
0.004,40.653,56.571,34.644,5.816,32.357,35.131,33.615,28.916
0.128,40.147,57.264,34.474,5.736,32.691,35.670,33.921,28.727
0.002,40.196,56.826,34.407,5.835,32.731,35.920,33.502,29.067
0.011,40.005,56.287,34.739,5.559,32.475,35.878,33.741,28.909
0.055,39.834,56.482,34.261,5.754,32.668,35.200,33.895,28.952
0.149,40.240,56.811,34.602,5.817,32.647,35.009,34.071,28.690
0.094,39.918,56.765,35.005,5.633,32.317,35.483,33.658,29.115
0.072,40.243,56.699,33.855,5.798,32.247,35.829,33.862,29.080
0.043,40.100,56.695,34.350,5.615,32.364,35.521,34.062,28.816
0.144,39.845,56.850,34.589,5.740,32.646,35.695,33.494,28.610
0.057,40.294,56.761,34.238,5.775,32.757,35.625,33.493,28.645
0.085,39.664,56.045,34.710,6.053,32.752,35.288,33.673,28.795
0.094,40.630,56.767,34.343,5.938,32.434,35.661,33.431,28.846
0.087,40.039,56.857,34.897,5.698,32.552,35.706,33.977,28.884
0.129,40.137,56.120,34.746,5.725,32.240,35.584,33.576,28.763
0.104,40.134,56.683,34.185,5.762,32.329,35.619,33.762,28.739
0.052,39.886,56.288,34.434,5.958,32.610,36.067,33.610,28.705
0.072,40.152,56.568,34.393,5.857,32.684,35.753,34.149,28.671
