CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.019,41.237,56.907,34.840,6.401,33.496,36.798,34.413,29.682
0.031,40.713,57.162,35.154,6.204,33.619,36.648,34.566,29.979
0.008,40.641,57.536,34.931,6.219,33.105,36.633,34.516,29.113
0.012,40.891,58.234,34.685,6.201,33.425,36.518,33.987,29.653
0.073,40.852,57.147,35.278,6.440,33.459,36.032,34.101,29.713
0.026,41.173,58.309,35.192,6.357,33.313,36.571,34.910,29.143
0.002,41.189,57.920,34.616,6.262,33.794,36.495,34.320,29.492
0.046,40.776,58.295,34.906,6.272,33.348,35.547,34.750,29.507
0.026,40.370,57.697,35.355,6.460,33.665,36.496,34.714,29.330
0.031,40.770,57.182,35.111,6.582,33.403,36.242,34.708,29.529
0.006,40.536,57.492,35.065,6.605,33.459,36.017,34.717,29.659
0.059,40.418,57.647,35.029,6.267,33.448,36.381,34.313,29.528
0.014,41.160,57.360,35.010,6.514,32.988,36.305,34.344,29.598
0.007,40.716,57.993,34.559,6.600,33.329,36.596,34.140,29.299
0.002,40.719,57.995,35.093,6.304,33.381,36.383,34.847,29.251
0.040,40.731,57.426,35.186,6.345,33.583,36.587,34.079,29.580
0.045,40.880,57.344,34.960,6.612,33.608,36.556,34.734,29.485
0.020,40.189,57.894,34.968,6.376,33.735,36.333,34.570,29.335
0.089,40.878,57.149,34.784,6.276,33.089,36.744,34.911,29.519
0.043,41.065,57.524,34.707,6.356,33.646,35.990,34.664,29.756
0.015,40.249,58.450,35.016,6.182,33.861,36.235,34.686,29.894
0.002,41.230,58.090,34.804,6.485,33.131,35.994,34.390,29.509
0.021,40.222,57.138,34.998,6.486,33.301,36.436,34.491,29.876
0.004,40.493,57.659,34.646,6.156,33.126,36.221,34.409,29.682
0.012,40.340,57.682,35.001,6.311,33.529,36.623,34.171,29.736
0.013,40.872,56.829,34.977,6.479,33.197,36.008,34.038,29.727
0.074,40.741,57.679,35.101,6.564,33.620,36.572,34.723,29.063
0.042,40.758,58.077,34.894,6.518,32.936,36.639,34.307,29.795
0.030,41.165,57.778,34.718,6.407,33.836,35.901,34.635,29.224
0.026,40.584,57.534,35.387,6.529,33.482,36.231,34.411,29.403
0.055,40.440,57.553,34.902,6.311,33.343,36.569,34.385,29.210
0.083,40.433,57.516,34.882,6.424,32.918,36.051,35.181,29.732
0.085,40.887,57.178,34.965,6.408,33.666,36.375,34.784,29.328
0.014,40.790,58.199,35.191,6.404,34.037,36.273,34.185,29.553
0.045,40.865,57.289,34.972,6.412,33.576,36.441,34.646,29.058
0.039,40.949,58.063,34.662,6.497,33.225,36.192,34.345,29.216
0.045,40.801,57.956,34.925,6.429,33.642,36.215,34.706,29.919
0.039,40.578,57.277,35.150,6.479,33.269,36.073,34.540,29.582
