CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.239,42.660,59.214,37.701,8.688,35.071,39.727,36.243,32.056
0.138,42.267,59.793,37.669,8.441,35.027,39.949,36.819,33.062
0.212,42.667,59.923,37.434,8.237,35.424,39.806,36.434,32.492
0.185,42.137,59.757,37.873,8.756,35.725,39.273,36.724,32.581
0.226,42.203,59.588,37.738,8.391,35.469,39.552,36.219,32.619
0.174,41.913,59.808,38.048,8.456,35.341,39.419,35.769,32.531
0.182,41.916,59.279,37.535,8.673,35.209,39.740,36.297,32.737
0.220,42.303,60.230,37.486,8.476,35.598,39.508,36.072,32.947
0.219,42.443,59.760,37.641,8.656,35.528,39.603,36.395,32.517
0.171,42.152,58.871,37.766,8.505,35.402,39.017,36.787,32.143
0.217,42.267,59.051,37.602,8.347,35.680,39.457,36.051,32.532
0.226,42.143,59.584,37.878,8.291,35.122,39.562,36.482,32.763
0.263,42.359,60.193,37.434,8.483,35.679,39.376,36.002,32.391
0.129,41.921,58.896,37.758,8.429,34.991,39.826,36.214,32.135
0.229,42.445,59.900,37.655,8.434,35.221,39.415,36.238,32.571
0.235,42.131,59.680,37.800,8.688,35.580,39.256,36.243,32.427
0.268,42.309,59.677,37.714,8.409,35.604,38.909,35.902,32.657
0.285,41.866,59.117,37.896,8.588,35.429,39.650,36.449,32.763
0.217,42.309,59.552,37.663,8.498,35.476,40.025,36.384,32.840
0.192,42.328,59.407,37.514,8.583,35.190,39.734,36.183,32.570
0.250,42.097,59.355,37.365,8.148,35.362,39.570,36.590,32.846
0.202,42.002,60.243,37.776,8.342,35.738,39.419,36.196,32.281
0.254,42.449,59.571,37.941,8.579,35.150,39.638,36.239,32.242
0.255,42.444,59.411,37.653,8.440,35.437,39.610,35.901,32.693
0.186,42.236,59.961,37.449,8.557,35.314,39.485,36.126,32.806
0.249,42.700,59.753,37.756,8.486,35.348,40.067,36.071,32.166
0.289,41.947,59.150,37.466,8.325,35.474,39.932,36.210,32.568
0.264,42.474,59.103,37.616,8.681,34.951,39.205,36.578,32.497
0.236,42.104,59.785,37.462,8.557,35.718,39.749,36.308,32.703
0.269,42.129,59.763,37.520,8.529,35.779,39.448,36.302,32.507
0.162,42.252,59.856,37.816,8.120,35.439,39.660,36.507,32.686
0.188,42.614,59.952,37.726,8.555,35.813,39.366,36.313,32.519
0.265,42.127,59.642,37.623,8.342,35.071,39.533,36.231,32.204
0.157,42.325,59.738,37.923,8.463,35.561,39.494,36.382,32.551
0.238,42.083,59.625,37.425,8.375,35.748,39.414,36.426,32.669
0.165,42.032,59.719,37.612,8.714,35.600,39.466,36.382,32.687
0.309,42.247,59.683,37.801,8.461,35.601,38.780,36.775,32.901
0.208,42.251,59.569,37.874,8.313,35.473,39.305,36.511,32.600
0.209,42.298,59.267,37.769,8.700,35.069,39.193,36.705,32.637
0.237,42.514,59.933,37.801,8.437,35.463,39.548,36.435,32.944
0.158,41.758,59.287,37.354,8.432,35.417,38.901,36.588,32.319
0.178,42.244,59.542,38.052,8.691,35.236,39.764,36.118,32.387
0.236,42.206,59.394,37.706,8.464,35.421,39.660,36.362,32.391
0.208,42.581,59.344,37.656,8.477,35.069,39.544,35.820,32.416
0.182,42.177,60.072,37.752,8.590,35.041,39.599,36.148,32.442
0.277,42.931,58.891,37.536,8.546,35.248,39.307,36.623,32.641
0.315,41.619,60.095,37.501,8.598,35.130,39.676,36.582,32.781
0.128,42.578,59.369,37.520,8.553,34.787,39.540,36.374,32.526
0.236,41.980,58.919,37.939,8.505,35.318,39.566,36.158,32.422
0.200,42.155,59.473,37.399,8.585,35.590,39.667,35.995,32.418
0.182,41.917,59.939,37.870,8.526,35.743,39.348,36.138,33.189
0.248,42.127,59.245,38.023,8.478,35.217,39.338,36.545,32.569
0.255,42.097,59.324,37.818,8.375,35.201,39.240,36.000,32.723
0.212,41.857,59.037,38.467,8.587,35.651,39.008,36.554,32.698
0.207,41.994,59.270,38.252,8.301,35.046,39.451,36.054,32.502
0.243,42.411,59.296,37.901,8.500,35.195,39.444,35.962,32.658
0.233,41.942,59.354,37.650,8.395,35.125,39.644,36.767,32.753
0.233,41.959,59.086,38.238,8.609,35.694,39.624,36.589,32.316
0.330,42.499,59.471,37.719,8.474,35.456,39.188,36.120,32.336
0.205,42.363,59.078,37.755,8.627,35.574,39.003,35.980,32.665
0.221,42.091,59.584,37.678,8.469,35.693,39.764,36.406,32.446
0.255,41.978,59.476,37.325,8.307,35.994,39.798,35.950,32.249
0.237,41.732,59.945,37.875,8.536,35.315,39.429,36.302,33.119
0.273,42.157,59.520,37.994,8.486,35.482,39.148,36.205,32.662
0.300,42.261,59.798,37.408,8.360,35.444,39.375,36.254,32.376
0.212,42.491,60.051,37.623,8.523,35.454,39.503,36.118,32.291
0.219,42.088,60.085,38.032,8.556,35.268,39.618,36.411,32.436
0.233,42.447,59.298,38.238,8.360,34.542,39.431,36.565,32.741
0.197,42.348,59.248,37.908,8.493,35.501,39.673,35.993,32.406
0.187,42.377,59.440,37.548,8.275,35.238,39.203,36.305,32.507
0.181,41.669,59.639,37.844,8.589,35.273,39.523,36.460,32.571
0.222,42.039,59.251,37.654,8.538,35.432,39.602,36.326,32.526
0.347,41.828,59.407,37.835,8.496,35.158,39.433,36.260,32.604
0.193,42.694,59.383,37.475,8.455,35.532,39.691,36.223,32.944
0.160,42.001,59.325,37.747,8.536,35.190,39.407,36.048,32.426
0.257,42.134,59.646,37.936,8.333,35.361,39.437,36.241,32.570
0.257,42.521,59.549,38.217,8.646,35.017,39.789,36.233,32.107
0.194,42.174,58.981,38.258,8.517,35.737,39.328,36.328,32.733
0.211,41.927,59.565,37.424,8.285,35.867,39.475,36.275,32.631
0.182,42.530,59.401,37.637,8.565,35.680,39.609,36.659,32.611
0.253,41.900,59.545,37.997,8.635,35.425,39.266,36.148,32.566
0.108,42.006,60.101,37.692,8.739,35.319,40.080,36.817,32.555
0.224,41.686,58.941,37.754,8.536,35.372,39.623,36.129,32.336
0.210,42.013,59.473,37.763,8.435,35.193,40.056,36.512,32.545
0.247,42.626,59.963,37.311,8.619,35.582,39.030,36.095,32.511
0.174,41.900,59.657,37.931,8.424,35.659,39.630,36.744,32.581
0.287,41.969,59.625,37.384,8.722,35.317,39.580,36.276,32.593
0.307,42.495,59.901,38.052,8.624,35.502,39.487,36.088,32.429
0.301,41.869,59.361,38.272,8.715,35.675,39.636,36.177,32.679
0.169,41.975,59.529,37.102,8.573,34.940,39.312,36.512,32.369
0.187,42.376,59.632,37.576,8.569,35.601,39.387,36.318,32.899
0.202,41.426,59.444,37.683,8.385,35.630,40.135,36.052,32.620
0.197,42.354,60.034,37.410,8.451,35.025,39.383,36.016,32.588
0.247,42.172,59.615,37.923,8.370,35.631,39.820,36.303,32.563
0.232,42.041,59.426,37.848,8.521,35.731,39.454,36.275,32.881
0.303,42.774,59.540,37.306,8.557,35.711,39.681,36.491,32.561
0.271,41.896,59.262,37.742,8.526,35.047,39.373,36.416,32.729
0.320,42.533,59.675,37.419,8.657,35.116,39.419,35.744,32.520
0.283,42.784,59.364,37.820,8.544,35.389,39.273,35.922,32.639
0.245,42.061,58.803,37.925,8.764,35.445,39.618,36.368,32.728
0.266,42.146,60.191,37.197,8.501,35.493,39.330,36.592,32.682
0.185,42.594,59.762,37.405,8.345,35.273,39.949,36.084,33.005
0.248,42.477,59.668,37.579,8.479,35.562,39.723,35.890,33.105
0.211,41.818,59.244,37.883,8.636,35.095,39.358,36.074,32.553
0.186,41.897,59.305,38.302,8.677,35.342,39.395,36.322,32.990
0.132,41.693,59.771,37.748,8.602,35.486,39.030,36.159,32.445
0.194,42.266,59.568,37.688,8.346,35.611,39.688,36.411,32.659
0.235,41.932,59.475,37.951,8.490,35.367,39.697,36.233,32.560
0.228,42.337,60.023,37.949,8.424,35.252,39.498,36.444,32.230
0.340,42.346,59.234,37.549,8.523,35.008,39.713,36.687,32.683
0.233,42.308,59.584,37.547,8.545,35.380,39.486,36.495,32.548
0.235,42.034,59.427,38.124,8.627,35.669,39.752,36.444,32.737
0.209,42.048,59.484,37.793,8.566,35.429,39.268,36.331,32.741
0.241,41.509,59.358,37.891,8.589,35.305,39.825,36.470,32.322
0.243,42.285,59.769,37.461,8.432,35.464,39.456,36.545,33.002
0.245,42.402,59.358,37.923,8.599,35.619,38.912,36.025,32.927
0.213,41.715,59.462,37.782,8.625,35.916,39.230,36.386,32.187
0.234,41.944,59.698,37.780,8.531,35.346,39.844,35.747,32.220
0.262,42.126,59.812,38.009,8.617,35.642,39.605,36.550,32.909
0.343,42.270,58.786,37.984,8.526,35.015,39.548,35.996,32.710
0.236,42.597,59.517,37.272,8.622,35.594,38.974,36.440,32.859
