CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.267,37.398,54.305,33.714,6.417,30.395,34.878,30.199,27.234
0.272,37.522,54.638,33.202,6.323,30.992,35.171,30.363,27.690
0.283,37.623,55.028,33.617,6.545,30.546,34.718,30.491,27.645
0.262,37.662,55.048,33.346,6.672,30.579,34.996,30.674,27.303
0.269,37.363,54.749,33.751,6.524,30.662,35.426,30.484,27.648
0.297,37.578,55.414,33.360,6.358,30.468,35.342,30.761,27.407
0.252,37.504,55.279,33.879,6.554,30.354,34.597,30.597,27.135
0.331,37.377,54.745,33.217,6.282,30.444,35.354,30.792,27.582
0.238,37.142,54.662,33.475,6.646,30.860,35.101,30.893,27.389
0.269,37.643,54.613,33.395,6.503,30.511,35.011,30.841,27.451
0.284,37.087,54.542,33.061,6.609,30.731,35.298,31.128,27.258
0.170,37.848,54.766,32.833,6.540,30.471,35.191,30.765,27.260
0.372,37.490,54.753,34.028,6.525,30.421,34.806,30.699,27.799
0.231,37.401,54.691,33.418,6.501,30.748,34.518,31.146,27.559
0.235,37.167,55.544,33.351,6.292,30.572,34.880,30.676,27.124
0.238,37.581,54.870,33.822,6.476,30.856,34.971,30.092,27.120
0.346,37.466,54.822,33.054,6.405,31.077,35.193,30.833,27.055
0.294,37.427,54.512,32.943,6.446,30.673,35.342,30.332,27.174
0.301,37.663,54.574,33.320,6.469,30.891,34.751,30.662,27.303
0.221,37.214,54.974,33.253,6.547,30.526,35.549,30.703,27.375
0.338,37.581,54.674,33.659,6.379,30.533,35.260,31.029,27.592
0.244,38.142,55.480,33.537,6.281,30.723,35.332,30.916,27.339
0.257,38.013,55.191,33.664,6.547,30.289,35.018,30.623,27.132
0.197,37.269,55.238,33.365,6.478,31.278,34.595,30.788,26.845
0.215,37.436,54.568,33.714,6.631,30.609,35.023,30.607,27.433
0.323,37.679,54.699,33.299,6.336,30.736,35.333,30.970,27.372
0.197,37.412,54.882,33.636,6.565,30.405,35.379,31.088,27.562
0.189,37.440,54.576,33.726,6.429,30.739,35.386,30.411,27.295
0.300,37.472,54.868,33.636,6.560,30.288,35.026,30.288,27.382
0.173,37.739,54.335,33.507,6.541,30.397,35.078,30.562,27.430
0.241,37.484,54.897,33.722,6.429,31.078,35.405,30.611,27.736
0.214,37.620,54.242,33.649,6.362,30.741,34.744,30.610,27.350
0.226,37.495,54.742,33.262,6.479,30.527,35.259,30.688,27.366
0.170,37.623,54.507,33.337,6.541,30.930,35.129,30.613,27.541
0.244,37.348,54.908,33.821,6.480,29.967,34.990,30.572,27.326
0.202,37.879,55.389,33.977,6.436,30.675,34.850,30.513,27.278
0.259,37.268,55.198,33.806,6.340,30.678,35.150,30.624,27.455
0.257,37.335,54.766,33.816,6.603,30.656,35.172,31.030,27.260
0.269,37.307,54.826,33.725,6.527,30.601,35.112,30.594,27.397
0.314,37.531,54.470,33.236,6.330,30.788,35.673,30.684,27.676
0.231,37.843,54.728,33.146,6.448,31.189,35.166,30.837,27.468
0.372,37.535,55.123,33.935,6.455,30.240,35.069,30.712,27.434
0.187,37.596,54.899,33.521,6.439,30.949,35.236,30.594,27.333
0.275,37.536,54.815,33.523,6.588,30.545,35.360,31.023,27.161
0.297,37.496,55.195,33.386,6.430,30.293,35.315,30.665,27.524
0.256,37.442,55.217,33.562,6.531,30.900,34.709,31.103,27.485
0.276,37.153,55.062,33.389,6.248,30.566,35.208,31.091,26.920
0.257,37.572,55.045,33.304,6.703,30.493,35.026,30.811,27.448
0.276,37.410,54.748,33.647,6.561,31.063,35.388,30.645,27.102
0.213,37.858,54.841,33.733,6.399,30.740,35.250,30.993,27.647
0.286,37.531,55.323,33.740,6.535,30.534,35.157,30.665,27.599
0.184,37.539,55.419,33.877,6.420,30.734,35.067,30.609,27.441
0.235,37.812,55.051,33.487,6.693,30.710,35.417,30.779,27.425
0.324,37.578,55.067,33.607,6.576,30.454,35.202,30.953,27.522
0.291,37.468,55.364,33.373,6.543,30.753,34.749,30.754,27.422
0.191,37.354,54.942,33.555,6.462,30.546,35.426,30.796,27.441
0.275,37.494,54.835,33.504,6.531,30.424,34.972,30.672,27.622
0.272,37.656,54.828,33.736,6.290,30.924,35.141,30.902,27.244
0.307,37.717,55.010,33.621,6.519,30.835,35.383,30.550,27.289
0.306,37.828,54.475,33.457,6.482,31.324,35.117,31.031,27.648
0.245,37.526,54.588,33.451,6.570,30.201,35.438,30.889,27.307
0.309,37.846,54.428,33.142,6.458,30.845,35.200,30.269,27.270
0.218,37.435,55.085,33.294,6.496,30.308,34.728,30.712,27.280
0.273,37.668,55.231,33.660,6.614,30.491,34.405,30.430,27.391
0.258,37.727,55.063,33.307,6.661,30.464,35.392,30.522,27.379
0.310,37.878,55.160,33.594,6.594,30.522,34.874,30.878,27.196
0.250,37.549,54.816,33.506,6.609,30.586,34.700,30.933,27.418
0.170,37.601,54.660,33.333,6.506,30.855,35.501,30.687,27.514
0.235,37.242,55.067,33.204,6.552,30.701,35.091,30.624,27.245
0.288,37.597,54.967,33.356,6.532,30.402,35.149,30.379,27.264
0.278,37.529,55.035,33.276,6.181,30.464,35.196,30.612,27.298
0.237,37.602,55.112,33.597,6.668,30.396,35.340,31.038,27.502
0.295,37.582,54.738,33.413,6.249,30.825,34.508,30.427,27.255
0.288,37.547,55.098,33.166,6.452,30.518,34.353,30.558,27.699
0.257,37.373,54.915,33.415,6.527,30.551,34.853,30.180,26.962
0.258,37.542,54.898,34.101,6.589,30.797,35.057,30.979,27.244
0.155,37.732,55.020,33.654,6.323,30.820,35.054,30.251,27.302
0.232,37.153,54.770,33.639,6.318,30.770,35.170,30.524,27.355
0.252,37.495,54.935,33.090,6.511,30.771,34.914,30.398,27.225
0.319,37.428,54.490,33.713,6.379,31.041,35.294,30.536,27.272
0.262,37.086,55.072,33.436,6.352,30.661,34.796,30.955,27.581
0.231,37.705,55.287,33.594,6.558,30.950,35.150,30.966,27.394
0.271,37.438,54.746,33.390,6.402,30.846,35.172,30.240,26.992
0.223,37.117,54.598,33.384,6.519,31.050,35.383,30.532,27.237
0.248,37.279,54.775,33.551,6.747,29.907,34.795,30.326,27.033
0.217,37.783,54.829,33.399,6.496,30.364,34.980,30.895,27.743
0.331,37.490,54.435,33.502,6.520,30.532,35.258,30.575,27.233
0.281,37.208,54.947,33.371,6.306,30.714,34.626,30.663,27.479
0.218,37.354,54.995,33.633,6.577,30.331,35.611,30.474,27.167
0.239,37.297,54.533,33.448,6.449,31.037,35.122,31.076,27.303
0.258,37.560,54.322,33.040,6.437,30.562,35.232,30.697,27.660
0.360,37.829,54.973,33.570,6.584,30.611,35.138,30.867,27.238
0.214,37.656,54.620,33.347,6.560,30.738,34.830,30.843,27.479
0.299,37.496,54.724,33.823,6.382,30.811,34.981,30.685,27.057
0.306,37.614,55.439,33.619,6.350,30.599,35.475,30.482,27.406
0.288,38.146,54.611,33.437,6.318,30.818,35.228,30.685,27.560
0.207,37.657,54.173,33.327,6.533,30.797,35.016,30.864,27.152
0.233,37.328,55.172,33.615,6.492,30.576,35.289,30.846,27.600
0.284,37.262,55.260,33.050,6.646,30.972,35.153,30.625,27.118
0.228,38.131,54.592,33.652,6.259,30.698,35.256,31.071,27.692
0.253,37.658,55.614,33.591,6.196,30.524,35.519,30.954,27.433
0.168,37.740,54.982,33.365,6.418,30.603,34.701,30.814,27.256
0.284,37.320,54.614,33.605,6.275,31.160,34.784,30.504,27.325
0.246,37.563,55.294,33.703,6.401,30.350,34.663,31.178,27.279
0.277,37.249,54.900,33.636,6.555,30.726,35.127,30.596,27.458
0.198,37.532,54.758,33.953,6.508,30.737,35.371,30.999,27.691
0.242,36.882,54.813,33.395,6.336,30.285,35.394,30.929,27.562
0.252,37.256,55.150,33.543,6.422,30.400,35.345,31.241,27.371
0.389,37.529,54.630,33.528,6.594,31.284,34.921,30.948,27.530
0.161,37.536,54.872,33.597,6.605,30.434,35.311,31.471,27.618
0.311,37.668,55.110,32.944,6.479,30.737,35.208,30.903,27.119
0.230,37.768,55.378,34.164,6.447,30.520,34.698,30.498,27.559
0.243,37.630,54.672,33.398,6.547,30.611,34.913,30.924,27.223
0.270,37.724,54.762,33.701,6.470,30.710,35.253,30.790,26.982
0.236,37.574,54.287,33.444,6.516,30.609,35.072,30.980,27.435
0.190,37.875,54.633,33.440,6.362,31.027,35.313,31.027,27.356
0.253,37.854,54.783,33.777,6.611,30.511,35.188,30.517,27.467
0.281,37.500,54.743,33.340,6.683,30.142,35.150,30.539,27.356
0.278,37.150,55.010,33.538,6.283,30.731,35.398,30.593,27.192
