CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.112,41.739,58.944,36.808,8.028,34.673,38.714,35.095,32.243
0.196,41.573,58.917,37.038,8.241,34.797,38.245,34.717,31.872
0.140,41.673,59.468,36.791,8.201,33.940,39.102,35.727,31.846
0.153,41.394,58.844,36.763,8.049,34.744,39.291,35.135,31.980
0.085,41.897,59.288,36.936,8.207,34.499,38.865,35.507,31.657
0.158,41.384,59.176,37.029,8.054,34.616,38.737,35.637,31.881
0.092,41.234,59.374,36.987,8.209,34.315,38.589,34.937,31.845
0.217,41.381,58.897,36.785,8.254,34.322,38.832,35.288,31.778
0.093,41.773,58.955,36.522,8.200,34.540,38.363,35.304,31.685
0.225,41.409,58.595,37.272,8.289,34.581,38.813,35.678,32.170
0.088,41.901,59.216,36.891,8.253,34.682,38.622,35.130,31.554
0.116,41.473,58.565,37.104,8.085,34.604,38.987,35.045,31.257
0.152,41.725,58.645,36.942,8.055,33.871,38.833,34.862,31.812
0.148,41.573,58.994,36.794,7.874,34.081,39.166,35.114,31.867
0.058,41.371,58.369,36.485,8.121,34.452,38.617,35.620,31.977
0.114,41.748,59.115,36.737,8.046,34.004,38.984,35.427,31.990
0.138,41.099,59.343,36.947,8.098,34.503,38.800,35.735,32.130
0.099,41.604,59.105,36.615,8.076,34.565,38.944,35.260,32.413
0.115,41.091,59.283,37.015,8.463,35.297,38.975,35.241,31.749
0.111,41.432,58.595,36.737,8.234,34.662,39.160,35.044,32.409
0.122,41.705,59.154,36.941,8.066,34.502,38.978,35.436,32.037
0.102,41.525,59.837,36.764,8.163,34.809,38.874,35.013,31.888
0.138,41.175,59.183,37.005,8.086,34.611,38.662,35.058,31.816
0.135,41.641,58.875,36.607,8.316,34.756,39.345,35.575,31.657
0.103,41.534,58.571,36.814,8.143,34.815,38.950,35.094,31.614
0.124,40.879,59.040,36.714,8.212,34.590,39.336,35.467,32.013
0.138,41.412,58.883,36.788,7.939,34.785,38.853,35.326,32.076
0.079,41.566,59.005,37.066,8.237,34.117,38.689,35.315,32.612
0.193,41.532,58.915,36.777,8.261,34.624,39.225,35.123,32.182
0.128,41.217,59.124,37.011,8.193,34.835,38.731,35.422,31.756
0.073,41.395,58.543,36.716,8.249,34.391,38.901,35.008,31.567
0.124,41.717,58.990,36.718,8.091,34.785,38.856,35.187,32.165
0.123,41.323,58.563,37.077,8.117,34.683,38.932,35.543,31.809
0.107,41.718,58.568,36.801,8.020,34.760,39.038,34.975,32.022
0.174,41.337,58.827,36.924,8.016,34.193,39.061,35.216,31.633
0.151,41.314,58.467,37.089,8.281,34.810,38.704,35.783,31.977
0.100,41.819,59.062,37.198,8.231,34.749,39.249,35.475,32.138
0.116,41.514,59.168,37.245,8.217,34.389,38.674,35.114,32.002
0.124,41.593,58.826,36.713,8.001,34.631,38.833,35.152,31.733
0.138,42.074,58.693,37.127,8.048,34.313,38.632,34.880,32.056
0.072,41.710,59.054,36.787,8.367,34.479,39.481,35.031,32.144
0.140,41.370,59.556,37.231,8.030,34.787,38.938,35.456,32.354
0.222,41.528,59.498,36.394,7.942,34.674,39.092,35.356,31.676
0.083,41.507,58.754,36.716,7.831,34.899,39.211,35.367,32.199
0.072,41.551,58.716,36.809,8.285,34.807,38.938,35.007,31.540
0.119,41.488,58.751,36.687,8.040,34.775,39.070,35.403,31.928
0.078,41.444,58.900,36.539,8.332,34.708,38.628,35.350,31.606
0.108,41.429,58.931,37.072,8.195,34.469,38.410,34.682,31.906
0.177,41.912,58.434,36.431,8.065,34.725,38.860,35.338,32.445
0.047,41.484,59.922,37.150,8.087,34.674,39.193,34.921,32.106
0.174,41.280,59.130,36.787,8.061,34.634,39.079,34.812,31.551
0.118,41.455,59.025,36.836,8.093,34.773,38.602,35.398,31.972
0.125,41.319,58.782,36.771,8.194,34.603,39.054,35.598,31.709
0.119,41.552,59.363,37.492,7.960,34.606,39.155,34.918,31.835
0.120,41.540,58.555,37.130,8.019,34.616,38.347,35.202,31.888
0.092,41.395,59.077,36.935,8.149,34.501,38.679,35.211,31.949
0.122,41.189,59.013,36.756,8.070,34.675,39.062,34.837,31.958
0.134,41.886,58.910,36.654,8.001,34.381,38.444,35.256,32.238
0.068,41.729,59.250,36.929,8.223,34.357,38.855,34.919,32.297
0.169,41.289,58.486,36.778,8.136,34.400,38.652,35.050,32.594
0.034,42.071,58.115,36.718,8.552,34.531,38.397,35.394,31.520
0.130,42.189,59.413,36.699,8.350,34.524,38.840,35.276,31.792
0.101,41.596,58.592,37.171,8.217,35.331,39.259,35.306,31.675
0.042,41.718,59.495,36.778,8.054,34.678,38.305,35.123,32.289
0.119,41.384,59.001,37.196,8.205,34.851,38.835,35.581,32.206
0.112,41.540,58.745,36.603,8.307,34.274,38.343,35.624,31.997
0.103,41.569,59.044,36.983,8.023,34.009,39.093,35.277,31.631
0.083,41.372,58.945,36.575,8.179,34.325,38.989,35.203,31.582
0.175,41.439,59.213,37.360,7.925,34.653,38.911,35.469,31.648
0.067,41.884,59.217,37.141,8.233,34.356,38.876,35.476,31.795
0.092,41.678,58.731,37.254,8.073,34.591,39.462,35.367,31.577
0.136,41.304,58.739,36.901,8.206,34.255,39.335,35.363,31.897
0.077,41.758,59.018,37.147,8.162,35.118,38.498,35.254,32.053
0.113,41.129,59.040,36.791,8.227,34.512,38.684,35.335,32.277
0.048,41.700,59.121,37.243,8.219,34.450,39.009,35.937,31.659
0.020,41.359,58.788,36.490,8.164,34.501,38.528,35.424,32.127
0.137,41.592,58.907,36.830,8.221,35.246,38.706,34.804,32.306
0.044,41.182,58.905,36.614,7.853,34.429,38.757,35.218,32.105
0.145,42.191,59.051,36.440,8.234,34.485,38.412,35.357,31.727
0.246,41.247,59.392,37.277,8.179,34.883,38.333,35.116,31.768
0.088,41.682,59.777,36.770,8.026,34.694,39.245,35.166,32.324
0.068,41.420,58.864,36.810,8.108,34.562,38.737,35.215,31.887
0.044,41.345,58.050,37.409,8.029,34.423,38.983,35.545,31.222
0.102,41.644,59.035,36.194,8.066,34.341,39.454,35.852,31.900
0.119,41.634,58.687,36.904,8.251,34.618,38.580,34.976,31.912
0.036,41.852,59.001,36.811,8.223,34.443,38.539,35.664,32.271
0.131,41.359,59.290,36.721,8.323,34.820,39.369,34.933,31.949
0.108,41.369,58.899,37.122,8.243,34.879,38.515,35.616,32.058
0.171,41.684,58.792,36.857,7.965,34.711,38.964,34.816,31.825
0.032,42.002,59.193,36.531,8.210,34.480,38.826,35.302,32.439
0.153,41.935,58.849,36.757,8.161,34.194,38.864,34.892,31.595
0.098,41.389,58.811,37.159,8.218,35.145,39.410,35.643,32.132
0.102,41.621,58.996,36.523,8.047,35.045,38.840,35.290,31.768
0.026,41.712,59.266,36.643,8.049,34.731,38.783,35.199,31.877
0.092,41.592,58.579,37.227,8.198,34.624,38.963,35.175,31.821
0.085,41.857,58.501,36.951,8.190,34.597,38.691,35.056,32.041
0.112,42.036,58.586,37.012,8.176,34.801,39.441,35.255,32.028
0.167,41.303,58.951,37.137,8.143,34.200,38.910,35.398,32.269
0.130,40.816,59.258,37.115,8.305,34.101,38.578,35.473,31.636
0.145,41.116,59.323,37.158,8.264,34.747,38.352,35.240,31.672
0.141,41.726,59.027,36.685,7.943,34.850,38.625,35.428,32.163
0.141,41.252,58.840,37.041,8.079,34.165,38.680,35.206,32.292
0.088,41.569,58.794,36.791,7.928,34.962,38.941,35.263,32.010
0.199,41.197,58.667,37.134,8.247,34.358,38.917,35.778,31.857
