CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.279,59.118,88.175,64.600,26.858,66.708,70.314,70.647,65.759
0.256,59.328,88.441,64.397,26.693,66.540,70.651,70.766,65.713
0.362,59.524,87.709,64.889,26.985,66.622,70.901,70.227,65.372
0.270,59.467,87.091,64.762,26.786,66.724,71.238,70.433,65.497
0.262,59.226,88.244,64.323,26.996,66.407,70.370,70.994,65.719
0.286,59.269,88.122,64.425,26.939,66.236,71.033,70.038,65.201
0.283,58.951,87.180,64.636,26.543,66.285,71.147,69.976,65.684
0.368,59.057,87.664,64.093,26.974,66.125,70.963,70.830,65.420
0.237,59.319,87.690,64.152,26.847,65.985,70.580,70.728,66.266
0.318,59.015,88.103,64.449,27.166,66.344,70.316,70.250,65.530
0.274,59.091,88.039,64.556,26.613,66.638,70.914,70.854,65.737
0.247,59.252,87.546,64.968,26.839,66.759,71.325,70.175,65.132
0.333,58.946,87.625,64.836,26.550,66.704,70.968,70.409,66.064
0.292,58.963,88.204,64.020,26.721,66.508,71.169,70.461,64.676
0.239,58.733,88.172,64.014,26.929,66.937,70.464,69.805,65.606
0.254,59.549,87.846,63.867,27.441,67.133,70.566,69.574,65.754
0.283,59.687,87.972,63.717,26.520,66.923,70.846,70.012,65.551
0.305,59.313,87.398,64.483,26.927,66.602,70.721,69.833,66.029
0.278,58.931,87.207,64.001,26.444,66.703,71.366,70.386,65.174
0.296,58.796,87.288,64.093,26.964,66.818,71.152,70.474,65.391
0.391,58.856,88.142,63.999,26.927,66.421,70.774,70.132,66.035
0.232,59.506,88.380,64.059,26.921,66.937,70.599,69.728,65.590
0.256,59.074,88.047,63.861,27.045,66.274,71.361,70.547,65.879
0.271,58.881,87.885,64.195,26.852,66.466,70.668,69.939,66.075
0.378,59.232,88.020,64.665,27.208,66.592,71.130,70.811,66.236
0.254,59.111,87.302,64.031,26.650,66.395,70.539,69.403,65.677
0.337,59.366,87.530,64.990,26.684,66.295,70.338,70.020,66.052
0.280,59.134,87.242,64.416,27.093,67.359,70.695,70.666,65.634
0.292,59.352,87.700,64.279,27.094,66.263,70.726,69.942,65.631
0.239,58.752,88.105,63.686,26.998,67.372,70.880,69.620,65.419
0.172,59.255,88.318,64.682,27.137,66.865,71.332,69.828,65.400
0.229,59.310,87.820,64.680,26.753,66.541,70.474,69.972,65.683
0.282,58.856,87.827,64.423,27.192,66.140,70.496,71.014,64.979
0.292,58.861,88.171,63.942,26.794,67.514,70.087,69.794,64.581
0.264,58.869,87.865,64.383,26.785,66.854,70.754,70.019,65.812
0.265,59.176,88.141,64.057,26.715,66.491,70.993,70.473,65.581
0.239,59.073,88.258,64.504,26.971,66.384,70.585,69.961,65.320
0.272,59.561,88.345,64.374,26.927,66.565,70.740,70.041,65.100
0.287,59.179,88.487,64.750,27.123,66.003,71.335,70.278,65.057
0.263,59.168,88.250,64.752,27.067,66.348,70.795,70.126,65.489
0.265,58.638,87.828,63.767,26.895,66.666,70.666,70.594,65.652
0.269,59.160,86.752,64.414,26.880,66.865,70.633,70.011,65.503
0.203,59.474,88.377,63.963,26.931,66.343,70.970,70.565,65.473
0.388,58.767,88.567,64.361,27.100,66.645,70.871,70.491,65.758
0.241,58.566,87.680,64.765,26.922,67.160,71.094,70.684,65.838
0.264,59.220,87.532,64.358,26.737,65.759,70.946,69.846,65.759
0.298,58.920,87.743,64.248,26.981,66.378,70.642,70.102,65.123
0.324,59.331,87.838,64.126,26.833,66.252,70.435,69.896,65.416
0.308,59.798,86.611,64.278,26.778,66.838,70.624,70.150,65.315
0.329,59.753,87.152,64.472,26.767,67.157,71.316,70.606,65.190
0.296,59.377,87.761,64.819,26.955,67.307,70.405,70.549,65.394
0.210,59.541,88.362,63.897,26.478,66.239,70.570,68.966,66.019
0.240,59.369,88.030,64.581,27.093,66.764,70.719,70.515,65.968
0.272,59.443,88.273,64.118,27.169,66.827,71.378,70.193,64.977
0.254,59.188,87.211,64.615,26.664,66.565,71.015,70.107,65.099
0.286,59.020,87.845,63.861,27.183,66.545,70.641,70.447,65.706
0.268,59.364,88.276,64.469,27.037,66.140,70.940,70.205,65.857
0.333,59.039,87.421,64.140,26.743,66.551,71.324,69.928,65.169
0.325,59.025,87.403,63.609,26.834,66.342,70.607,70.951,65.332
0.281,59.109,87.449,63.885,26.623,66.432,70.771,70.332,65.267
0.159,59.555,87.743,64.087,27.183,67.115,71.256,70.128,65.832
0.252,58.514,87.707,64.404,26.801,66.241,70.949,70.081,65.761
0.271,59.448,88.517,64.152,26.656,66.797,69.867,70.515,65.886
0.112,59.625,87.384,64.259,26.979,66.325,71.119,70.178,65.756
0.285,59.342,87.787,64.597,26.801,66.688,70.327,70.507,66.221
0.268,58.986,87.714,64.831,26.918,66.537,70.938,70.202,65.688
0.293,58.902,88.114,63.696,26.597,66.264,71.307,70.025,65.971
0.251,59.048,87.185,64.756,26.642,66.391,71.165,70.236,65.738
0.279,59.346,88.477,64.113,26.967,66.394,70.992,70.743,66.553
0.217,59.285,87.721,64.527,26.920,66.823,70.511,70.005,65.627
0.301,58.996,87.552,64.269,27.082,66.413,71.163,70.707,66.020
0.275,58.909,87.807,63.781,26.946,66.438,70.210,70.345,65.373
0.297,58.849,87.856,64.486,27.044,67.032,70.776,70.387,66.033
0.258,59.618,87.777,64.067,27.169,66.119,70.627,70.407,65.739
0.256,59.672,88.263,64.466,27.129,66.192,70.528,70.341,65.353
0.286,59.825,88.259,64.916,26.703,66.671,71.051,70.464,65.619
0.275,58.714,87.102,63.958,27.107,66.476,71.352,70.846,65.592
0.267,58.991,87.902,65.004,27.248,66.042,71.518,70.160,66.293
0.256,59.320,88.324,64.041,26.846,66.432,70.805,70.612,65.695
0.193,59.141,87.983,64.341,27.058,66.877,70.662,70.168,65.241
0.291,59.058,88.165,64.090,26.940,66.412,71.014,70.239,66.107
0.263,59.177,88.599,64.594,26.736,66.525,71.081,70.071,65.473
0.248,59.105,87.506,64.312,26.790,66.740,70.998,70.079,65.545
0.310,59.335,88.791,64.682,26.857,67.172,71.395,70.271,65.827
0.277,58.791,87.458,64.344,27.014,66.779,71.259,69.831,65.696
0.243,59.198,87.669,64.132,26.698,66.522,71.040,70.522,65.970
0.332,59.739,88.248,64.700,27.031,66.993,70.132,70.350,64.953
0.220,59.399,88.479,64.159,27.243,66.825,70.579,70.634,65.645
0.246,59.150,87.854,63.552,26.714,66.722,70.652,70.135,65.670
0.234,59.290,87.690,64.471,26.688,66.535,71.556,70.664,66.249
0.213,59.065,87.325,64.078,26.556,66.616,70.357,70.655,65.723
0.145,59.071,87.630,64.172,26.914,66.111,70.792,70.348,66.076
0.211,59.413,87.094,64.027,26.575,66.816,70.909,70.366,65.580
0.232,59.039,87.025,63.715,26.793,66.256,71.303,70.197,65.165
0.323,59.296,88.379,64.179,27.049,66.546,70.847,70.431,65.461
0.339,59.052,87.239,63.902,27.106,66.696,70.620,70.423,65.477
0.221,59.427,87.899,64.115,27.211,67.224,71.280,70.298,65.970
0.255,58.427,87.956,64.165,26.962,66.417,70.600,69.999,65.538
0.192,59.002,88.192,64.020,27.574,66.116,71.008,70.185,65.348
0.306,58.970,87.971,64.967,26.993,66.684,71.197,70.648,65.721
0.274,59.739,87.949,64.212,26.683,66.512,71.206,69.941,65.551
0.348,59.151,88.483,64.066,26.655,66.528,70.373,69.811,65.627
0.270,59.379,87.568,64.055,26.334,66.859,70.545,69.940,66.121
0.287,59.274,87.555,64.394,26.724,65.955,70.809,70.262,65.664
0.262,59.070,88.296,64.631,27.107,67.342,70.016,70.421,66.058
0.242,59.428,87.399,63.805,27.101,66.979,70.940,70.029,65.681
0.180,59.260,87.803,63.927,27.095,66.349,70.900,70.323,66.017
0.199,58.749,87.677,64.289,27.520,66.723,71.443,69.858,65.711
0.263,59.455,87.984,64.180,26.451,66.266,70.905,70.343,65.707
0.197,59.607,87.262,64.494,26.594,66.194,70.889,70.664,65.446
0.263,59.334,87.558,64.672,27.293,66.093,71.314,69.761,65.190
0.232,59.353,87.860,64.063,27.171,66.414,71.347,69.078,64.893
0.224,58.685,87.813,63.529,26.779,66.404,70.652,69.990,65.842
0.291,58.811,87.628,63.813,27.024,66.489,70.839,70.889,65.977
