CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.348,74.658,95.274,71.604,36.800,77.125,82.144,81.609,74.549
0.436,74.365,93.819,71.928,36.659,77.300,81.230,81.634,75.206
0.343,75.018,94.511,71.367,37.292,76.942,81.582,81.582,74.621
0.403,74.613,94.949,71.319,36.758,77.025,81.865,80.983,74.694
0.338,75.345,95.240,71.745,36.961,76.411,80.952,81.316,75.229
0.430,75.051,95.113,72.014,36.881,76.727,81.753,81.038,74.731
0.340,75.066,94.977,71.103,36.768,76.707,81.755,81.031,74.550
0.408,74.780,94.869,71.954,36.645,77.508,81.802,81.470,75.137
0.460,74.603,94.278,71.745,36.715,77.583,81.199,81.218,74.713
0.402,74.364,95.161,71.510,36.437,76.841,81.791,80.795,75.390
0.347,74.478,94.755,71.793,36.764,77.027,81.843,81.455,75.520
0.377,74.548,93.950,72.162,37.161,77.031,81.728,80.873,75.114
0.325,74.697,95.606,71.565,37.339,77.369,81.550,82.034,74.408
0.393,75.129,94.781,70.810,36.718,77.410,81.442,81.064,75.022
0.353,74.498,95.610,70.991,37.187,77.023,81.437,81.862,74.268
0.328,75.218,94.343,71.130,37.389,76.861,81.294,81.606,74.751
0.313,74.678,95.096,72.083,36.655,76.833,81.897,81.372,75.265
0.359,74.652,95.695,71.878,37.365,77.486,81.492,81.660,74.908
0.449,75.133,94.756,72.231,37.585,77.027,81.154,80.881,74.687
0.262,74.427,95.737,71.517,37.175,76.985,81.841,80.719,74.568
0.312,74.717,95.643,71.327,36.772,77.281,81.809,81.353,74.472
0.441,74.250,93.918,71.911,36.843,77.066,82.441,81.571,74.410
0.336,74.756,95.112,72.053,36.655,76.827,81.962,81.353,74.848
0.321,74.590,94.944,71.937,36.793,77.339,81.556,81.587,74.293
0.328,74.910,94.862,72.278,36.920,77.415,81.447,81.352,74.861
0.314,75.127,94.838,71.666,36.906,77.907,81.790,81.160,75.435
0.426,74.275,94.983,71.322,36.726,77.322,81.416,80.958,74.030
0.300,74.684,95.140,71.169,37.009,77.829,81.003,81.815,74.923
0.399,74.371,94.598,71.337,36.998,77.818,81.779,81.061,74.132
0.286,74.283,95.379,71.336,36.740,76.752,81.541,81.051,74.915
0.379,74.562,94.749,71.793,36.761,77.722,81.453,81.291,74.940
0.389,74.281,95.326,71.358,36.541,77.443,81.724,81.033,74.366
0.314,74.556,94.502,71.377,36.486,76.277,81.182,81.172,74.280
0.356,74.926,94.655,71.204,37.167,77.157,81.304,80.583,74.216
0.362,74.165,95.501,71.692,37.198,77.560,81.824,81.358,74.620
0.448,74.888,94.791,71.805,36.718,77.433,81.117,81.694,74.441
0.388,74.495,94.686,72.070,36.854,77.359,80.748,80.915,74.217
0.327,74.474,94.965,71.876,36.987,77.431,81.009,81.043,74.873
0.303,74.910,95.429,71.733,37.287,76.719,81.768,80.964,75.014
0.351,74.332,94.628,72.142,36.893,77.392,81.157,81.578,74.193
0.347,74.113,94.734,71.857,36.898,77.481,81.213,81.632,75.127
0.310,74.945,94.356,71.223,36.995,77.274,81.486,81.304,74.829
0.445,74.499,95.127,71.193,36.816,77.083,81.416,81.316,75.358
0.462,74.461,95.416,71.756,37.065,76.723,81.351,81.538,75.017
0.333,74.523,95.643,71.625,37.358,77.097,81.299,81.817,75.097
0.315,74.324,95.044,71.573,36.889,77.657,81.228,82.019,74.434
0.352,74.511,93.894,71.863,36.697,76.854,81.323,81.399,75.098
0.318,74.621,94.709,71.227,36.806,76.661,81.427,81.787,74.810
0.342,74.952,95.791,71.555,37.040,77.904,81.756,80.735,74.853
0.323,74.736,95.075,71.371,36.647,77.285,81.726,81.469,74.669
0.245,74.772,94.284,71.322,37.081,77.376,81.605,81.607,74.435
0.329,74.344,95.017,71.284,36.484,76.811,81.799,81.004,74.701
0.329,74.766,95.039,71.765,36.829,76.908,81.744,80.946,74.929
0.354,74.211,94.881,71.495,36.913,77.484,81.467,81.400,74.873
0.379,74.604,94.323,71.905,36.442,76.865,80.931,81.618,74.643
0.428,74.918,94.409,71.625,36.987,77.960,81.912,81.132,74.739
0.424,75.118,94.937,71.041,36.515,76.906,81.372,81.289,74.933
0.262,74.693,94.536,71.755,36.823,77.553,81.704,81.272,74.868
0.414,74.510,94.427,72.063,36.822,76.912,81.702,81.654,75.148
0.276,75.157,94.695,72.077,36.696,77.560,80.632,81.145,74.762
0.307,74.747,94.845,71.160,37.344,77.171,81.419,81.328,74.594
0.345,74.510,94.285,72.167,37.011,76.798,81.449,82.268,75.055
0.308,74.762,94.568,71.234,37.160,77.372,81.113,80.729,74.724
0.257,74.809,94.918,71.859,37.072,77.354,81.315,81.732,74.995
0.374,74.760,94.744,72.374,36.893,77.339,81.937,82.530,74.568
0.439,74.900,95.639,71.665,36.971,77.837,81.881,81.360,74.533
0.339,74.930,94.292,71.213,36.424,76.191,80.707,81.463,75.343
