CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.153,40.036,57.641,35.916,7.576,33.401,37.713,33.351,30.255
0.185,40.053,57.462,35.924,7.886,33.613,38.404,33.394,30.550
0.103,39.853,57.599,36.255,7.628,33.868,38.006,34.303,30.768
0.215,40.208,57.839,36.219,7.997,33.660,37.337,33.794,30.339
0.174,40.019,57.996,35.500,7.632,33.955,37.830,34.440,30.561
0.179,39.855,57.711,36.354,7.900,33.383,37.922,33.789,30.762
0.192,40.370,57.407,36.182,7.749,33.942,37.271,33.765,30.385
0.139,40.345,57.659,35.455,7.789,33.600,37.625,33.969,30.737
0.193,40.105,57.721,35.764,7.837,33.778,37.786,33.817,30.651
0.254,40.064,58.071,35.852,7.773,33.827,37.713,34.047,30.975
0.143,40.180,57.293,36.314,7.699,33.827,37.693,34.093,30.411
0.189,40.772,57.425,35.911,7.678,33.559,37.724,33.851,30.810
0.163,40.396,57.335,36.009,7.788,33.386,37.667,33.546,30.242
0.185,40.459,57.420,36.002,7.654,33.573,37.208,33.508,30.518
0.149,40.400,57.058,35.901,7.711,33.984,37.825,33.786,30.729
0.124,40.498,57.315,35.394,7.816,33.111,37.336,33.684,30.763
0.202,40.284,57.917,36.009,7.860,33.216,37.629,34.193,30.220
0.198,40.335,57.504,35.889,7.691,33.489,37.834,34.216,30.230
0.133,40.588,57.861,35.451,7.691,33.802,37.704,33.517,30.312
0.165,40.258,57.137,36.548,8.080,33.900,37.618,33.877,30.485
0.214,40.339,57.974,35.500,7.862,33.797,37.734,33.558,30.617
0.138,40.535,58.101,35.831,7.949,33.700,37.683,33.927,30.155
0.206,40.072,58.312,35.739,7.855,33.949,37.800,33.969,30.423
0.145,40.033,57.746,35.921,7.746,33.705,37.222,34.057,30.840
0.241,40.052,57.204,35.544,7.621,34.075,37.112,33.914,30.329
0.137,40.637,57.784,36.264,7.837,33.420,37.582,33.896,30.537
0.198,39.938,57.575,36.086,7.759,33.629,37.400,33.923,30.315
0.138,40.166,57.803,35.588,7.776,33.747,37.881,34.044,30.522
0.194,40.083,57.174,35.270,7.759,33.756,37.210,33.431,30.654
0.114,40.772,57.956,35.959,7.935,33.505,37.605,33.997,30.274
0.171,40.494,57.311,36.092,7.833,33.794,37.673,33.619,30.720
0.075,40.177,57.502,36.050,7.936,33.754,37.163,33.723,30.580
0.058,40.244,57.797,35.632,8.028,33.599,37.043,33.837,30.574
0.218,39.895,56.954,36.266,7.641,33.759,37.790,33.735,30.677
0.180,40.322,57.491,35.654,7.615,33.404,37.111,34.184,30.242
0.220,39.988,57.487,35.813,7.963,33.903,37.653,34.153,30.805
0.155,40.612,57.573,36.041,7.809,34.122,37.225,33.655,31.160
0.135,39.832,57.048,35.734,7.857,33.797,37.803,33.750,30.384
0.079,40.196,57.802,35.656,7.789,33.679,37.693,34.082,30.735
0.105,40.467,58.198,36.115,7.681,33.695,37.628,33.739,29.845
0.161,40.333,57.334,35.689,7.814,33.801,37.627,34.065,30.409
0.135,39.742,57.694,35.818,7.579,33.648,37.025,33.585,30.641
0.137,40.468,57.618,35.612,7.632,33.800,37.565,33.549,30.940
0.153,40.116,57.821,35.690,7.699,33.557,37.511,33.791,30.690
0.186,39.731,57.540,36.040,7.921,34.079,37.657,33.617,30.297
0.104,40.355,57.160,35.899,7.793,33.725,37.995,33.608,30.559
0.229,39.724,57.719,35.751,7.708,33.823,37.344,33.585,30.831
0.166,40.072,57.843,35.650,7.648,33.930,37.285,33.708,30.468
0.205,39.927,57.474,36.324,7.772,33.756,37.264,33.668,30.494
0.140,40.093,57.656,35.800,7.623,33.780,37.712,34.478,30.215
0.180,40.016,58.146,36.011,7.980,33.842,37.497,33.899,30.594
0.169,40.503,56.945,35.794,7.750,33.937,37.545,33.843,30.699
0.123,40.107,57.790,35.938,8.095,33.726,37.458,34.067,30.463
0.123,40.362,57.637,35.906,7.920,33.966,37.696,34.275,30.500
0.117,40.136,57.263,35.796,7.710,33.868,37.491,34.027,30.433
0.150,40.274,58.070,36.062,7.827,33.754,37.492,33.751,30.350
0.187,40.004,57.743,35.938,7.790,33.626,37.187,33.584,30.126
0.192,39.959,57.714,35.551,7.620,33.624,37.349,33.877,30.388
0.200,40.235,57.766,36.042,7.612,33.042,36.948,34.016,30.784
0.073,39.941,57.243,36.476,7.623,33.145,37.734,33.818,30.618
0.249,40.929,57.885,35.602,7.908,33.313,37.229,33.772,30.724
0.071,40.323,57.801,35.763,7.964,33.713,37.233,33.760,30.868
0.245,39.971,57.775,36.025,7.745,33.484,37.805,33.791,30.744
0.136,40.459,57.543,35.601,7.747,33.202,37.549,33.871,30.212
0.140,40.060,57.044,36.071,7.823,33.650,37.773,33.806,30.716
0.144,40.187,57.212,35.531,7.840,33.402,37.359,33.886,30.391
0.092,40.304,57.675,35.942,7.724,33.854,37.918,33.925,30.569
0.147,40.369,57.515,36.080,7.668,33.423,37.527,33.967,30.612
0.155,40.472,57.389,35.461,7.574,33.669,37.939,33.798,30.854
0.120,40.121,57.552,35.706,7.738,33.837,37.581,33.921,30.658
0.117,39.740,58.216,36.269,7.827,33.691,37.258,34.258,30.692
0.174,40.020,57.603,36.243,7.543,33.551,37.826,34.395,30.491
0.225,39.723,57.219,35.652,7.921,33.167,37.866,33.837,31.009
0.196,39.997,57.322,35.536,7.907,33.267,37.734,33.903,30.674
0.212,40.138,57.609,36.040,7.934,33.225,37.128,34.008,30.577
0.067,39.937,57.377,36.167,7.885,33.613,37.779,33.734,30.766
0.142,40.363,57.170,35.606,7.724,33.664,37.632,34.155,30.617
0.128,39.933,57.506,35.416,7.828,33.491,37.730,33.998,30.534
0.219,40.013,56.809,35.444,7.727,33.500,37.491,34.045,30.891
0.222,40.128,57.522,36.028,7.918,33.649,37.675,34.028,30.429
0.081,39.696,57.957,35.994,7.942,33.398,38.028,34.117,30.606
0.086,40.314,57.076,36.215,7.943,33.805,37.144,34.199,30.104
0.220,39.865,57.954,35.954,7.895,33.680,37.532,33.774,30.587
0.141,40.928,57.995,35.748,7.726,33.731,37.399,34.110,30.340
0.179,39.864,57.610,36.138,7.780,33.269,37.808,33.528,30.567
0.167,40.259,57.566,36.033,7.743,33.704,37.584,34.448,30.623
0.170,40.229,57.357,36.253,7.601,33.769,37.579,33.579,30.205
0.149,39.831,57.704,36.116,8.016,33.754,37.723,33.854,31.037
0.111,40.215,57.174,35.781,7.704,33.463,38.353,34.141,30.138
0.183,40.128,57.410,35.961,7.803,33.678,37.631,34.230,30.611
0.235,40.151,58.150,36.299,7.841,33.772,37.462,33.906,30.470
0.168,40.222,57.514,36.025,7.767,33.600,37.774,33.915,30.513
0.201,40.291,57.378,36.124,7.906,33.728,37.742,34.107,30.186
0.110,40.036,57.208,35.915,7.698,33.784,37.682,34.067,30.552
0.214,40.181,57.614,35.300,7.821,34.011,37.563,33.771,31.129
0.079,40.583,57.595,35.139,7.809,33.813,37.641,33.951,30.485
0.109,39.902,57.551,35.877,7.880,33.883,37.337,34.001,30.502
0.212,40.241,57.771,35.853,7.824,33.219,37.758,33.735,30.650
0.212,40.256,57.404,35.736,7.849,33.498,37.541,33.504,30.577
0.188,40.473,57.845,36.111,7.984,33.918,37.644,34.130,30.426
0.205,40.106,57.545,36.350,7.723,33.675,37.657,34.094,30.482
0.192,39.837,57.971,35.887,7.840,33.711,37.880,33.644,30.338
0.180,40.435,57.974,36.155,7.602,33.596,37.895,34.131,30.272
0.191,40.233,58.095,36.140,7.720,33.600,37.446,34.164,30.490
0.172,40.089,56.950,35.805,7.796,33.307,38.040,33.935,30.800
0.215,39.949,57.431,35.949,7.710,33.602,37.941,33.762,30.292
0.218,40.378,57.371,35.935,7.679,33.753,37.492,33.981,30.791
0.154,40.129,57.594,35.962,7.706,33.345,37.711,34.595,30.342
0.134,40.103,57.095,35.247,7.835,34.040,37.732,34.336,30.059
0.148,40.143,57.374,36.074,7.760,33.463,37.970,33.855,30.615
0.172,40.250,57.747,35.857,7.878,34.099,38.180,34.345,30.693
0.221,40.850,57.563,36.176,7.824,33.901,37.531,33.806,30.497
0.183,39.906,57.339,36.007,8.115,34.304,37.260,34.237,30.221
0.069,40.572,58.168,35.911,7.796,33.782,37.803,34.369,30.821
0.201,39.893,57.330,36.156,7.626,33.365,37.983,33.967,30.338
0.141,40.080,57.794,35.897,7.676,33.522,37.564,33.766,30.781
0.053,40.322,58.003,35.690,7.804,33.647,37.527,33.651,30.884
0.153,40.209,57.480,35.657,7.971,33.771,37.724,34.054,30.673
0.141,39.966,57.223,36.017,7.711,33.824,37.910,33.934,30.646
0.114,40.239,57.649,36.332,7.829,33.278,37.813,33.451,30.658
0.164,40.172,58.380,36.061,7.959,33.804,38.328,33.882,30.719
0.115,40.183,57.442,35.753,8.086,33.476,37.927,34.038,30.598
0.130,40.262,56.615,35.819,7.848,33.831,37.663,34.223,30.602
0.175,40.779,57.725,35.914,7.666,33.748,37.356,33.937,30.702
0.174,40.596,57.476,36.209,7.722,33.532,37.471,34.135,30.620
0.185,40.576,57.639,35.817,7.748,34.014,37.342,33.874,30.369
0.151,40.154,57.941,35.993,7.503,33.761,37.664,33.916,30.515
