CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.087,40.085,57.605,35.070,5.819,32.680,36.054,34.015,29.877
0.116,40.823,56.605,34.911,5.992,32.040,35.406,34.167,29.388
0.035,40.066,56.982,35.126,6.086,32.321,35.236,33.942,29.270
0.132,40.433,57.114,34.666,6.070,32.376,35.408,34.046,29.239
0.056,40.341,57.011,34.520,5.798,32.625,36.153,34.226,29.484
0.130,40.477,57.350,34.458,6.057,32.805,35.768,33.909,29.521
0.094,40.270,56.952,34.818,5.869,32.711,35.274,33.713,28.844
0.093,40.380,57.820,34.806,6.191,32.988,35.354,33.918,28.894
0.095,40.336,56.769,34.777,6.107,33.171,35.736,33.912,29.394
0.069,39.884,57.178,35.168,6.060,32.670,35.617,33.855,29.464
0.047,40.148,57.469,34.629,5.885,32.536,36.317,33.936,28.929
0.071,40.061,57.357,34.496,6.115,32.745,35.803,33.786,28.907
0.098,39.942,57.690,34.888,6.020,32.734,35.561,33.923,29.129
0.094,40.459,56.886,34.803,6.126,32.783,35.649,33.915,29.289
0.178,40.517,56.794,35.033,6.009,32.728,35.449,33.790,29.326
0.121,40.518,56.977,35.082,6.040,32.704,35.329,33.614,29.308
0.056,40.272,57.397,34.342,5.985,32.939,35.923,33.955,29.194
0.073,40.610,56.750,34.549,5.996,32.480,35.430,34.215,29.622
0.133,39.875,57.342,34.738,6.025,32.986,35.652,33.436,29.145
0.078,40.057,57.105,34.855,5.962,32.819,35.519,33.506,29.275
0.123,40.383,56.739,34.768,5.999,32.306,35.436,34.088,28.986
0.078,40.481,56.549,34.629,5.834,32.948,35.644,33.713,28.815
0.019,39.948,57.092,34.751,6.024,32.455,35.850,34.083,29.307
0.103,40.107,56.563,35.297,5.937,32.820,36.066,34.130,29.411
0.045,40.007,57.726,34.700,6.035,32.834,35.606,33.903,29.229
0.155,40.550,56.843,34.688,5.889,32.653,35.529,33.905,29.001
0.116,40.031,57.781,34.386,5.983,32.657,35.349,34.020,28.990
0.011,40.231,57.041,35.290,6.286,32.423,35.337,34.573,29.011
0.057,40.254,57.525,34.809,6.149,32.668,35.353,33.793,29.197
0.113,40.348,57.146,34.712,5.943,32.773,35.639,34.114,29.292
0.159,39.714,57.145,34.702,5.970,32.189,35.276,33.758,29.321
0.044,40.419,56.248,34.438,6.131,32.912,35.479,34.086,28.863
0.093,40.095,56.726,34.766,5.828,32.638,35.518,34.057,29.048
0.138,40.236,57.001,34.601,5.927,32.500,35.769,33.797,29.309
0.072,40.604,56.883,34.630,6.183,32.355,35.945,33.760,28.981
0.087,40.309,57.118,34.827,6.164,32.670,35.624,34.286,29.470
0.126,40.396,57.062,34.972,6.044,32.467,35.614,34.097,29.460
0.154,40.223,56.556,34.960,6.036,32.606,35.564,34.023,29.288
0.085,40.096,56.911,34.752,6.068,32.813,35.403,33.362,29.022
0.111,40.267,57.211,34.988,5.919,32.721,35.866,34.020,29.400
0.016,40.420,57.239,34.533,6.208,33.176,35.719,34.181,28.946
0.114,40.467,57.801,34.975,5.853,33.137,35.954,34.053,29.148
0.130,40.273,57.657,35.147,6.126,32.606,35.640,34.113,29.395
0.007,39.421,57.040,35.031,6.065,32.980,35.554,34.242,29.692
0.039,40.276,57.295,34.594,5.954,32.710,36.040,34.034,28.879
0.057,40.657,56.634,35.062,6.031,33.137,35.897,33.962,29.134
0.062,40.045,56.688,34.233,6.073,32.554,35.463,34.024,29.386
0.083,39.990,56.916,34.947,6.079,32.451,35.493,34.193,29.123
0.153,40.368,57.294,35.028,5.865,32.696,35.792,34.180,28.939
0.103,40.000,56.867,34.597,6.120,32.971,36.049,33.905,29.315
0.105,39.933,57.156,34.793,6.062,32.331,35.554,34.130,29.102
0.070,40.662,57.422,34.997,6.083,32.794,35.849,34.027,29.056
0.094,40.251,57.027,35.245,5.977,32.662,35.713,33.508,28.846
0.052,39.721,57.289,35.115,5.907,32.466,36.074,33.668,28.950
0.076,40.758,56.760,34.394,5.940,32.785,35.744,34.287,29.194
0.140,40.079,57.189,34.730,5.967,32.760,35.231,33.868,28.883
0.034,40.135,56.945,34.925,6.151,32.883,35.630,34.276,29.050
0.124,40.582,57.157,34.751,6.003,32.680,35.527,33.926,29.158
0.162,40.184,57.221,34.809,5.726,32.889,36.178,33.312,29.227
0.090,40.497,56.823,34.994,6.000,33.060,35.715,34.020,29.323
0.106,40.162,56.464,34.747,5.988,32.506,35.961,33.964,29.456
0.034,40.234,56.935,35.125,6.031,32.704,35.542,34.067,29.735
0.059,40.424,57.423,34.923,6.131,32.621,36.003,34.254,29.388
0.070,39.927,57.031,34.539,6.131,32.656,35.630,33.793,29.620
0.138,40.086,56.780,34.928,6.087,32.515,35.652,34.346,29.311
0.087,40.495,56.591,35.044,6.010,32.578,36.010,34.098,28.962
0.078,40.597,57.103,34.506,6.081,32.460,35.846,33.970,28.937
0.055,40.487,56.448,34.181,5.947,32.754,35.924,33.853,29.186
0.067,39.960,56.605,34.860,5.978,32.816,35.777,34.076,29.080
0.032,40.306,57.017,34.759,6.085,32.592,35.572,33.721,28.982
0.062,40.033,57.441,35.101,6.154,32.609,35.265,33.948,28.712
0.037,39.916,57.102,34.545,5.853,32.914,35.487,33.774,28.847
0.064,40.334,57.272,34.757,6.090,32.955,35.590,33.936,28.668
0.135,40.235,57.353,34.945,6.092,32.793,35.016,33.707,29.097
0.103,40.155,57.363,34.602,5.956,32.520,35.511,33.894,29.216
0.100,40.653,56.738,34.872,6.019,32.728,35.656,33.942,29.403
0.139,40.593,56.563,34.726,5.975,32.590,35.940,34.506,29.641
0.077,40.407,56.923,35.077,6.054,32.922,35.943,34.089,29.222
0.065,39.994,57.541,34.893,6.028,32.419,35.839,34.236,28.546
0.098,40.051,56.682,35.038,5.977,32.641,35.103,34.311,28.931
0.042,40.329,57.246,34.550,6.233,32.901,35.595,33.842,29.228
0.166,40.190,57.721,34.610,6.001,32.281,35.933,34.170,29.324
0.131,40.220,57.190,34.609,6.098,32.936,35.591,33.822,28.971
0.115,40.326,57.085,35.107,5.697,32.636,35.725,33.551,29.460
0.043,40.176,56.956,34.748,6.096,32.937,35.669,34.353,29.214
0.070,40.667,56.930,34.691,6.087,32.650,35.568,34.291,29.511
0.045,40.544,56.443,34.548,6.029,32.429,35.857,34.050,28.614
0.130,40.199,57.364,34.786,5.964,32.408,35.638,33.929,29.300
0.092,39.913,56.709,34.445,5.836,32.470,35.357,33.928,29.536
0.116,40.480,57.608,34.954,6.067,32.726,35.772,33.889,28.995
0.070,39.615,57.111,34.578,5.835,32.671,35.836,33.756,29.350
0.134,40.270,57.381,35.018,6.091,32.509,35.607,34.293,28.925
0.000,40.653,57.192,34.943,5.903,32.794,35.482,33.612,29.250
0.095,40.080,57.282,34.764,6.078,32.875,35.492,33.942,29.310
0.082,40.362,57.348,34.787,6.088,32.513,35.507,34.037,28.740
0.102,40.349,56.802,34.355,6.008,32.431,35.724,34.050,29.443
0.076,40.253,57.608,34.558,5.946,33.004,35.845,33.857,29.035
0.087,40.646,56.840,34.993,6.007,32.194,35.751,34.009,29.144
0.066,40.039,56.969,34.662,6.084,32.584,35.448,33.950,29.102
0.079,40.227,57.046,34.872,6.174,32.976,35.666,33.612,29.035
0.054,39.754,57.295,35.087,6.062,32.683,35.583,33.820,29.184
0.065,40.180,57.644,34.527,6.048,32.888,35.707,34.134,29.064
0.150,40.311,57.307,34.818,6.017,32.800,35.771,33.983,29.257
0.072,39.901,57.100,34.912,6.105,33.103,35.723,34.376,29.335
0.119,40.352,56.866,34.938,5.817,32.949,35.259,33.644,29.268
0.065,40.223,57.612,34.623,6.042,32.687,35.308,34.049,28.950
