CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.006,39.725,56.469,34.259,5.760,32.364,35.468,33.037,28.902
0.078,39.876,56.808,34.279,5.572,32.381,35.668,32.908,28.479
0.040,39.922,56.838,33.833,5.749,32.305,35.631,33.627,28.217
0.058,40.016,57.041,34.255,5.512,32.412,35.370,33.282,28.479
0.074,40.199,57.372,34.232,5.739,32.780,35.192,33.605,28.470
0.121,39.690,56.618,34.052,5.497,32.524,34.780,32.941,29.059
0.107,40.274,57.236,34.237,5.590,32.208,35.828,33.222,28.781
0.023,39.788,56.670,33.692,5.536,32.638,34.630,33.536,28.937
0.049,39.743,56.707,34.015,5.606,32.390,35.315,33.676,28.694
0.038,39.984,57.206,33.770,5.525,32.735,35.422,33.418,28.824
0.001,40.100,56.866,34.321,5.573,32.284,35.501,33.154,28.704
0.102,40.015,56.486,33.920,5.633,32.585,35.282,33.603,28.752
0.026,40.278,57.030,33.997,5.653,31.985,35.509,33.303,28.568
0.001,39.983,56.825,34.272,5.587,32.502,35.141,33.286,28.548
0.038,39.700,56.899,34.082,5.789,32.764,35.165,33.190,28.790
0.034,39.995,56.779,34.393,5.583,32.194,34.613,33.540,28.437
0.010,40.185,56.513,33.783,5.665,32.754,35.002,33.507,28.332
0.058,40.141,56.730,34.203,5.728,32.671,35.142,33.484,28.331
0.016,39.946,56.649,33.963,5.837,32.336,35.486,33.458,28.618
0.015,39.696,56.768,34.282,5.747,32.327,34.898,33.457,29.023
0.012,39.806,56.290,34.112,5.731,32.375,34.941,33.109,28.527
0.035,39.772,57.326,34.472,5.573,32.646,35.156,33.618,28.649
0.069,39.785,56.845,34.334,5.605,32.536,35.659,33.077,28.686
0.066,39.650,56.878,34.572,5.407,32.100,35.541,32.662,28.445
0.107,40.312,56.986,34.322,5.955,32.873,35.138,33.436,28.679
0.109,40.042,57.257,34.542,5.550,32.177,35.204,33.023,28.747
0.065,40.165,57.103,33.922,5.573,32.365,35.354,32.930,28.611
0.005,40.016,57.379,34.274,5.567,32.198,35.315,33.244,28.510
0.047,39.781,57.154,34.121,5.586,32.691,34.963,33.557,28.309
0.063,40.283,56.945,34.204,5.711,32.511,34.851,33.238,29.138
0.003,40.010,56.959,34.194,5.698,32.514,35.102,33.254,28.575
0.076,39.788,56.687,34.183,5.495,31.781,35.246,32.707,28.586
0.035,39.952,56.936,34.542,5.719,32.475,35.246,33.459,28.577
0.042,39.923,57.123,33.746,5.651,32.841,35.313,33.539,28.338
0.093,40.094,56.971,34.183,5.779,32.175,35.313,33.358,28.465
0.067,40.175,56.376,34.162,5.805,32.702,35.313,33.284,28.838
