CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.490,35.264,52.470,31.417,5.717,27.945,33.044,27.862,24.778
0.312,34.867,52.684,31.085,5.741,28.329,32.706,28.232,24.690
0.361,35.460,52.364,31.222,5.602,28.225,33.186,27.771,24.879
0.272,35.533,52.623,31.823,5.785,28.315,32.409,28.014,24.670
0.347,35.260,52.673,31.589,5.691,28.098,32.911,27.851,24.520
0.349,35.359,52.541,31.287,5.839,28.077,32.646,28.046,24.545
0.378,35.670,52.610,31.587,5.502,28.065,32.908,27.976,24.602
0.350,34.723,52.771,31.338,5.879,28.536,32.915,28.070,25.010
0.389,34.996,52.517,31.401,5.643,28.280,33.019,28.328,24.927
0.248,34.961,52.720,31.093,5.760,28.127,32.670,27.224,24.842
0.371,35.409,52.779,31.289,5.682,27.915,33.042,28.038,25.579
0.369,35.188,52.012,31.065,5.520,28.410,32.339,28.003,24.612
0.302,35.279,52.608,31.651,5.596,28.370,32.663,28.004,24.776
0.277,34.792,52.755,31.557,5.954,28.293,32.996,27.818,24.276
0.351,35.067,52.287,31.722,5.512,28.611,32.711,28.137,25.097
0.335,35.572,52.937,31.650,5.389,28.403,32.532,27.979,25.026
0.358,35.073,52.759,31.166,5.799,28.461,32.919,28.089,25.165
0.375,35.795,51.932,31.606,5.735,28.643,32.884,28.003,24.689
0.361,35.730,52.523,31.226,5.741,28.405,32.993,28.096,24.721
0.337,35.206,52.600,31.442,5.831,28.451,32.423,27.672,24.929
0.340,35.176,52.750,31.470,5.818,28.543,32.972,27.902,24.594
0.259,35.195,53.023,31.280,5.678,28.056,32.972,27.683,24.932
0.398,35.597,52.679,31.663,5.715,28.096,32.770,27.853,24.740
0.398,35.219,52.724,31.298,5.899,28.707,32.996,27.426,24.836
0.291,35.222,52.143,31.451,5.568,28.463,32.845,27.866,24.801
0.412,35.473,52.791,31.819,5.600,28.747,33.235,28.264,24.729
0.312,35.063,53.251,31.345,5.786,28.506,32.676,28.129,25.240
0.279,35.381,52.674,31.395,5.933,28.312,32.855,28.069,24.452
0.339,34.917,52.249,31.501,5.692,28.131,32.664,27.854,24.760
0.351,34.928,52.865,31.508,5.788,27.838,32.606,27.564,24.621
4.324,33.501,56.569,16.517,6.331,36.604,30.701,30.729,21.352
0.364,35.548,52.754,31.301,5.843,28.023,32.929,28.050,25.055
0.293,35.492,51.947,31.442,5.968,28.143,32.670,27.973,25.206
0.408,35.209,52.609,31.706,5.855,28.352,33.031,28.116,24.789
0.451,34.827,52.162,31.573,5.723,28.417,32.962,28.083,24.782
0.397,35.526,52.497,31.590,5.752,28.068,32.837,27.879,24.630
0.377,35.384,52.264,31.764,5.873,28.273,32.629,28.108,24.833
0.296,35.329,53.094,31.787,5.797,28.544,32.421,27.963,24.440
0.378,35.271,53.067,31.414,5.789,28.789,32.887,27.847,24.996
0.310,35.176,52.788,31.538,5.900,28.437,32.912,27.868,24.855
0.372,35.256,52.893,31.334,5.775,27.819,32.548,28.149,24.871
0.449,35.249,52.805,31.273,5.597,27.986,32.500,28.328,24.817
0.330,35.330,52.883,31.526,5.583,28.242,32.612,27.740,24.634
0.361,35.387,52.335,31.345,5.838,27.907,32.708,27.937,24.717
0.372,35.056,52.672,31.464,5.723,28.210,32.575,27.873,24.716
0.400,35.905,52.629,31.611,5.873,28.502,32.907,27.836,25.056
0.302,35.392,53.364,31.319,5.866,28.461,32.760,28.120,24.961
0.394,35.240,52.545,31.382,5.875,28.254,32.726,28.399,24.961
0.414,35.097,52.786,31.441,5.670,28.509,33.044,27.951,24.887
0.352,35.417,52.860,31.044,5.702,28.010,32.658,28.188,24.671
0.312,34.990,52.820,31.802,5.633,28.316,33.015,27.951,24.505
0.406,35.359,52.631,31.452,5.744,28.288,32.690,27.553,24.848
0.316,35.579,52.559,31.504,5.810,28.114,32.719,28.239,24.980
0.247,35.423,52.372,31.489,5.753,28.518,32.807,27.745,24.756
0.273,35.204,52.630,30.994,5.943,28.635,32.306,27.780,24.888
0.362,34.886,52.627,31.414,5.875,28.463,32.532,28.006,24.792
0.250,35.367,52.421,31.249,5.620,28.122,32.538,27.706,24.974
0.374,35.287,52.514,31.680,5.518,28.203,33.053,27.849,25.100
0.350,34.979,52.526,31.468,5.724,28.484,32.782,28.054,24.751
0.360,35.098,52.294,31.313,5.766,28.314,32.574,28.153,25.224
0.365,35.113,52.769,31.595,5.768,28.290,32.749,28.466,25.023
0.308,35.298,52.727,31.938,5.794,28.189,32.589,27.982,25.128
0.277,35.234,52.915,30.993,5.772,28.211,32.814,27.809,25.039
0.290,35.408,52.687,31.360,5.550,28.135,32.749,27.567,25.151
0.371,35.039,52.530,31.432,5.734,28.275,32.752,27.556,25.033
0.312,34.999,52.054,31.055,5.626,28.454,32.568,27.627,24.849
0.415,35.568,52.630,31.389,5.781,28.338,33.164,28.033,24.812
0.320,35.252,52.548,31.269,5.527,28.313,33.306,27.934,24.833
0.355,35.537,52.914,31.658,5.705,28.248,32.701,27.825,25.090
0.429,35.296,52.326,31.189,5.886,28.507,33.406,27.900,24.586
0.272,35.406,52.722,31.686,5.804,28.013,32.661,27.870,24.851
0.402,34.931,52.743,31.787,5.674,28.510,33.028,27.867,24.791
0.330,35.413,52.939,31.530,5.842,28.510,32.819,27.735,25.203
0.250,35.222,52.768,30.986,5.817,28.199,32.847,28.049,24.789
0.300,35.154,52.571,31.741,5.784,28.247,32.777,27.522,25.076
0.380,35.457,52.805,31.015,5.862,27.893,32.602,28.123,24.847
0.450,35.333,52.426,31.114,5.716,28.234,32.625,28.143,24.665
0.395,35.621,52.668,31.262,5.727,28.338,32.409,28.105,24.849
0.246,35.265,52.622,31.660,5.957,28.360,32.383,28.231,24.771
0.372,34.961,52.764,31.365,5.826,28.369,33.092,28.214,24.509
