CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.310,69.572,92.168,69.271,33.752,73.599,78.353,78.366,72.205
0.420,68.956,92.651,69.170,33.514,73.344,78.137,78.163,71.938
0.391,69.216,92.754,69.569,33.910,73.882,77.668,77.751,71.299
0.393,69.223,91.950,69.307,33.676,73.299,78.063,77.392,71.735
0.372,69.665,92.368,69.636,33.321,73.566,77.665,77.233,72.143
0.411,69.828,92.787,69.338,33.528,73.731,78.564,77.644,71.612
0.427,69.476,91.629,69.122,33.555,73.192,77.906,77.737,71.814
0.392,69.771,92.388,69.413,33.836,73.629,77.893,77.397,71.331
0.453,69.478,92.500,69.360,33.477,73.173,77.321,77.751,71.544
0.383,69.600,92.523,69.363,33.340,73.593,78.567,78.118,72.020
0.352,69.001,92.007,69.901,33.234,72.918,77.957,78.188,71.072
0.484,69.878,92.138,69.329,33.838,73.474,78.201,77.303,72.233
0.406,69.864,92.213,69.954,33.576,73.260,77.434,77.990,71.357
0.514,68.911,92.779,69.198,34.375,74.103,77.480,77.600,71.424
0.376,69.645,92.626,69.579,33.921,73.601,78.014,77.767,71.202
0.391,69.436,92.017,69.410,33.844,73.956,78.354,77.933,71.739
0.481,69.418,91.925,69.438,33.346,73.648,77.742,77.581,71.543
0.449,69.222,92.296,69.321,33.750,74.025,78.127,77.474,71.634
0.477,69.435,92.821,69.504,33.579,73.929,77.758,77.591,71.792
0.434,69.235,92.562,69.825,33.341,73.468,77.393,77.917,71.449
0.423,69.641,92.370,69.915,33.280,73.910,78.838,77.234,72.036
0.415,70.052,92.598,69.426,33.705,73.284,78.634,77.583,71.734
0.432,69.527,92.881,69.438,33.747,73.970,77.844,77.291,71.648
0.425,69.488,92.050,69.102,33.980,73.952,77.960,77.855,71.820
0.430,69.934,92.196,69.400,33.612,72.928,77.079,77.544,71.871
0.446,68.853,93.116,69.572,33.244,73.103,78.632,77.460,72.172
0.477,69.675,92.602,69.276,33.567,73.534,77.649,77.757,71.211
0.459,69.547,92.523,68.993,33.964,73.631,78.390,77.547,71.849
0.403,69.959,92.872,69.505,33.870,73.811,77.732,77.790,71.529
0.459,69.904,92.913,69.429,33.559,74.185,77.651,77.356,71.696
0.373,68.993,93.402,69.325,33.909,74.588,78.531,78.403,71.807
0.439,69.736,92.444,69.219,33.374,74.141,77.754,77.438,72.138
0.382,69.953,93.207,69.581,33.988,73.228,77.416,77.627,72.147
0.412,69.799,93.383,69.475,33.505,73.258,77.561,77.227,71.796
0.455,69.602,92.846,69.098,33.552,73.786,78.002,78.241,71.243
0.450,69.430,93.086,69.666,33.817,73.768,78.022,77.531,71.952
0.477,69.407,92.134,69.899,33.487,73.798,77.564,77.489,71.386
0.523,69.924,93.227,69.239,33.727,73.564,77.994,77.612,71.369
0.403,69.101,92.760,69.318,33.444,73.623,77.839,76.976,71.865
0.428,69.065,92.231,69.259,33.479,74.702,77.874,77.302,72.159
0.379,68.953,92.227,69.511,33.464,73.719,78.725,77.251,71.398
0.420,69.606,92.571,69.032,33.931,74.026,78.390,77.348,71.710
0.397,69.600,92.743,69.629,33.183,73.975,77.955,77.935,71.910
0.301,69.395,91.988,69.541,33.505,73.869,78.444,77.908,71.265
0.393,69.663,92.891,68.973,33.328,73.483,77.673,77.692,71.542
0.332,70.014,92.571,68.873,33.840,73.667,77.600,77.875,71.977
0.423,69.922,92.301,69.483,33.252,74.573,78.329,78.104,71.506
0.367,69.327,92.689,69.319,33.980,73.650,77.353,77.541,71.762
0.409,69.529,92.565,68.880,33.514,73.598,78.318,77.402,71.148
0.433,69.180,92.786,69.535,33.918,74.106,76.640,77.837,71.194
0.469,69.908,92.041,69.985,33.521,73.489,77.562,77.738,71.880
0.423,69.484,92.432,70.013,33.668,73.247,77.749,77.737,71.747
0.499,69.315,92.473,69.191,33.875,74.276,77.960,77.827,71.650
0.384,69.727,93.371,68.683,32.992,73.632,79.083,77.109,71.651
0.463,69.489,92.587,68.956,33.534,73.753,78.262,77.554,71.405
0.492,70.386,92.518,69.202,33.859,73.331,76.949,77.769,71.759
0.421,69.663,93.030,69.693,33.345,73.793,77.540,78.460,71.907
0.329,70.363,92.127,69.284,33.270,74.050,77.535,78.469,71.655
0.438,69.785,93.504,69.382,33.749,74.305,78.629,78.104,71.712
0.379,70.187,92.642,69.432,33.439,73.860,77.497,78.056,71.407
0.456,69.036,92.831,69.475,33.531,73.844,77.702,77.594,72.018
0.411,69.473,92.918,68.998,33.464,73.962,78.286,77.433,71.617
0.453,70.332,91.760,69.977,33.269,73.421,77.734,76.886,71.731
0.425,69.142,92.488,69.532,33.520,72.903,77.803,77.819,71.700
0.289,69.515,92.234,69.419,33.480,74.263,78.302,77.235,71.783
0.330,69.538,92.407,69.334,33.484,73.547,77.177,77.935,71.488
0.385,69.506,93.162,68.720,33.853,72.929,77.506,77.748,71.568
0.405,69.469,92.105,68.839,33.642,73.753,78.123,77.776,71.911
0.417,69.772,91.975,68.782,33.695,73.445,77.883,77.173,71.177
0.398,68.979,92.455,69.322,33.673,73.596,77.837,77.551,71.726
0.381,69.464,92.339,69.493,33.292,73.362,78.060,77.656,72.003
0.443,69.263,92.627,69.837,33.675,73.815,77.515,77.454,72.449
0.449,69.681,92.093,69.261,33.728,73.952,77.798,77.866,72.192
0.289,69.917,92.583,69.699,33.582,73.930,78.560,78.017,71.201
0.373,69.096,93.174,69.468,33.629,73.316,78.063,77.617,71.790
0.392,69.548,91.831,69.383,33.774,73.647,78.674,77.864,71.473
0.362,69.403,92.373,69.049,33.788,73.590,78.809,77.916,72.022
0.457,69.861,91.871,69.060,33.230,73.834,77.737,78.174,72.050
0.423,69.919,92.635,68.723,33.547,74.159,77.664,77.580,72.099
0.339,68.875,92.831,68.992,33.498,73.894,78.162,77.489,71.742
0.457,69.366,93.252,69.432,33.913,73.483,78.729,77.704,72.009
0.496,69.382,93.118,69.415,33.854,73.650,77.584,77.767,71.507
0.382,69.138,92.731,69.834,33.735,73.493,77.318,78.538,72.303
0.420,69.642,92.744,69.056,33.579,73.572,78.432,78.005,71.465
0.355,69.680,92.588,69.909,33.637,73.946,77.130,78.143,71.664
0.375,69.200,93.110,68.571,33.847,74.105,77.516,78.432,71.609
0.393,69.705,92.624,69.101,33.666,73.242,77.723,77.650,71.533
0.370,69.789,92.261,69.096,33.863,73.882,78.051,77.531,71.395
0.294,69.515,92.833,68.741,33.526,73.110,77.710,77.626,71.623
0.417,69.315,93.414,69.831,33.588,73.230,77.642,78.370,71.897
0.401,69.729,92.687,69.190,33.386,74.015,77.728,77.135,71.123
0.486,69.270,92.058,69.009,33.920,73.785,77.725,77.715,71.434
0.451,69.565,92.606,69.419,33.396,73.787,77.993,77.847,71.968
0.376,70.016,92.986,69.114,33.420,74.057,78.183,77.710,71.558
0.363,69.672,92.727,69.615,33.673,73.059,77.928,77.898,72.084
0.521,69.401,92.484,69.762,33.573,73.481,78.024,77.648,71.590
0.352,69.969,93.000,69.584,33.406,73.836,78.269,77.918,71.803
0.402,69.819,91.837,69.814,33.903,73.623,77.857,76.818,71.655
0.366,69.728,92.014,69.434,33.320,73.327,77.730,76.686,71.701
0.438,69.487,92.550,69.193,33.653,73.334,77.779,77.983,71.624
0.419,70.031,92.913,69.443,33.225,74.020,78.697,77.943,71.216
0.378,69.734,93.212,69.596,33.866,73.723,77.349,77.888,72.112
0.381,69.574,92.313,69.465,33.510,73.507,77.561,77.678,71.590
0.442,69.583,92.472,69.004,33.236,73.298,78.276,77.520,71.955
0.434,69.369,92.696,69.029,33.732,73.777,78.247,77.171,72.335
0.434,70.140,92.241,68.950,33.199,73.142,77.270,77.598,71.787
0.443,69.493,92.802,69.189,33.417,73.351,77.878,77.975,71.225
