CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.033,41.150,58.780,35.816,6.957,34.396,37.377,35.005,30.788
0.099,41.366,57.941,35.794,6.678,34.642,37.183,35.154,30.837
0.018,41.260,58.493,36.033,7.033,34.471,37.296,35.085,30.698
0.032,41.457,58.563,35.551,6.988,34.213,36.890,35.097,30.538
0.057,41.169,57.524,35.661,6.841,34.251,37.259,35.248,30.976
0.040,41.060,57.813,35.873,6.741,34.159,37.403,34.952,30.734
0.006,40.852,58.586,35.723,6.799,33.914,37.313,34.768,30.636
0.079,41.349,58.227,36.022,6.971,34.206,36.916,35.319,30.111
0.043,41.053,58.027,35.199,6.953,34.228,37.268,35.258,29.960
0.051,41.061,58.151,35.835,6.654,34.124,36.632,35.239,30.481
0.059,41.608,58.057,35.855,6.879,34.160,37.027,35.040,30.221
0.060,41.339,58.492,35.697,6.548,34.232,37.065,34.896,30.485
0.070,40.931,58.222,35.558,6.834,34.016,37.298,34.654,30.553
0.085,41.267,57.454,36.036,6.914,34.408,36.792,35.358,30.718
0.096,41.209,58.365,36.107,6.826,34.170,37.134,34.926,30.645
0.071,41.406,58.113,35.720,7.110,34.020,37.250,35.045,30.717
0.067,41.567,58.714,35.486,7.074,34.502,37.340,35.048,30.808
0.026,41.351,58.245,36.054,6.997,34.348,37.357,35.101,30.355
0.027,41.242,58.296,35.757,7.137,34.466,37.243,35.185,30.480
0.073,41.020,58.053,35.976,6.968,34.115,37.449,35.385,30.561
0.093,41.087,58.372,35.283,6.881,34.462,37.105,34.965,30.571
0.061,41.456,58.272,35.630,6.864,34.399,37.319,35.106,30.236
0.046,41.214,57.924,35.428,6.864,33.825,37.199,35.385,30.293
0.067,41.312,57.489,35.519,6.820,34.887,36.996,34.826,30.427
0.033,41.490,58.250,35.647,7.305,34.702,37.026,34.833,30.499
0.068,41.503,58.154,35.472,6.811,34.328,37.279,35.329,30.713
0.081,41.656,58.223,35.531,6.917,34.106,36.933,34.942,30.267
0.031,41.919,58.242,35.102,7.109,34.299,36.980,35.399,30.617
0.018,41.593,57.924,35.628,6.746,34.452,37.501,34.823,30.933
0.028,41.559,58.082,35.844,6.837,33.885,37.145,35.228,30.852
