CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.276,41.324,59.142,36.081,6.930,35.076,37.740,35.881,31.208
0.452,41.988,58.689,35.974,7.084,34.546,37.549,35.968,30.956
0.306,41.932,58.482,35.982,7.103,35.229,37.589,35.605,30.717
0.387,41.526,58.331,35.794,7.009,34.875,37.530,35.953,30.675
0.268,41.748,59.007,35.721,7.111,34.891,37.262,36.023,31.144
0.291,41.915,58.368,35.452,6.925,34.725,38.091,35.498,31.317
0.373,41.191,58.477,35.797,7.167,34.808,37.681,35.547,31.117
0.317,41.874,58.628,35.418,6.853,34.798,37.487,35.046,30.465
0.333,41.835,58.389,35.939,7.301,34.931,38.021,35.763,30.999
0.259,41.450,58.459,36.115,7.257,35.076,37.763,35.591,31.109
0.376,41.500,58.211,35.976,7.086,34.972,38.040,35.640,30.668
0.328,41.939,58.473,35.886,7.169,34.821,37.346,35.520,31.067
0.371,41.560,58.803,35.663,7.361,34.526,37.514,35.863,31.328
0.400,41.844,58.210,35.793,7.023,34.701,37.940,35.799,31.054
0.300,41.496,58.005,35.550,7.326,35.064,38.010,35.824,30.956
0.271,41.473,58.652,35.779,7.128,34.465,37.628,35.604,30.566
0.273,41.504,58.626,35.949,6.898,34.588,37.335,35.401,31.040
0.363,41.501,58.223,36.020,7.043,34.782,37.583,35.234,31.157
0.283,41.894,58.352,35.291,7.071,34.629,37.375,35.472,31.205
0.272,41.879,58.290,35.544,7.041,34.630,37.877,35.175,30.917
0.331,41.754,58.813,35.745,7.154,34.559,37.883,35.439,31.018
0.350,41.581,58.528,36.146,7.016,34.867,37.033,35.498,30.769
0.286,41.291,58.189,35.964,7.116,34.921,37.789,35.603,31.188
0.287,41.594,58.880,35.788,7.189,34.224,37.560,35.644,30.865
0.362,41.507,58.492,35.716,6.997,35.231,37.643,35.921,30.727
0.362,41.563,58.615,35.918,7.092,34.283,37.605,35.827,31.158
0.366,41.694,58.697,35.766,7.166,34.639,37.324,35.732,31.147
0.456,41.136,58.088,35.998,7.091,34.552,37.304,35.693,30.754
0.319,41.530,59.131,35.333,7.201,34.530,37.329,35.840,30.725
0.323,41.723,58.436,35.803,7.157,34.835,37.279,35.715,31.363
0.337,41.512,58.280,36.160,7.224,34.727,37.813,35.436,30.845
0.292,42.333,58.657,36.607,7.226,34.526,37.734,36.013,30.600
0.403,41.526,58.032,35.389,7.000,35.088,38.115,36.087,30.989
0.333,42.028,58.556,35.630,7.069,34.993,37.438,35.148,30.983
0.273,41.776,58.994,35.966,7.092,34.541,37.881,35.709,30.301
0.327,42.166,58.592,35.823,7.168,34.610,37.885,35.867,30.994
0.314,41.803,58.220,35.871,7.170,34.996,37.588,35.868,30.724
0.367,41.831,58.711,35.974,7.216,34.387,37.151,35.795,31.080
0.339,41.908,58.454,36.269,6.902,34.334,37.361,35.843,31.140
0.338,41.648,58.483,35.821,7.281,34.804,37.353,35.694,30.898
0.365,42.441,58.554,35.912,6.994,34.561,37.174,35.584,30.731
0.346,41.863,58.663,36.052,7.036,34.709,37.796,35.870,30.837
0.336,41.821,59.014,35.496,6.930,34.745,37.505,35.461,30.992
0.418,41.579,58.410,35.549,7.244,34.636,37.647,35.655,31.142
0.336,41.881,58.493,35.754,7.185,34.112,37.854,35.503,31.305
0.235,41.936,58.679,36.329,7.245,34.758,37.708,35.480,30.891
0.379,41.664,59.043,36.172,7.373,34.792,37.507,35.013,30.811
0.337,41.496,58.707,35.698,7.311,35.086,37.534,35.669,31.097
0.267,41.807,58.385,36.276,7.130,34.786,37.655,36.131,31.361
0.301,41.607,58.961,35.433,7.279,34.727,37.500,35.435,30.685
0.317,41.557,58.061,35.851,7.059,34.201,37.382,35.692,30.957
0.286,41.707,57.763,35.830,7.146,34.863,37.886,35.805,31.329
0.351,41.473,57.985,35.320,7.140,34.576,37.393,35.587,31.279
0.218,41.393,58.710,35.742,7.059,34.601,37.653,35.633,30.839
0.394,41.568,57.932,35.837,7.164,35.276,37.568,35.760,30.782
0.281,41.617,58.444,35.413,7.217,35.230,37.577,35.467,30.822
0.382,41.999,58.571,35.708,7.207,34.989,37.856,35.153,31.073
0.309,41.630,58.138,35.703,7.075,34.487,37.696,35.794,30.839
0.308,41.647,58.058,35.631,7.083,35.164,37.606,35.941,30.908
0.297,41.831,58.248,36.184,7.010,34.455,37.656,35.465,31.089
0.325,42.363,58.324,35.901,6.956,34.805,37.497,35.485,31.093
0.347,41.469,58.624,35.386,7.017,34.964,37.607,35.588,31.255
0.272,42.179,58.874,35.893,7.218,34.438,37.388,35.454,30.576
0.336,41.703,59.053,36.226,7.167,34.997,37.653,35.726,30.555
0.334,41.937,58.688,36.258,7.073,34.867,37.565,35.705,31.482
0.237,41.667,58.440,35.816,7.153,34.870,37.967,35.689,31.010
0.309,41.728,58.721,35.779,6.993,34.744,37.884,35.764,30.897
0.242,41.312,59.134,35.750,7.116,34.727,37.469,35.458,31.037
0.324,41.389,58.916,36.247,7.121,34.744,37.255,35.485,31.037
0.305,41.830,57.773,35.887,7.052,34.666,37.613,35.735,31.232
0.257,41.612,58.840,35.972,6.920,34.906,37.296,35.389,30.930
0.274,41.658,58.127,35.865,7.109,34.798,37.617,35.577,30.745
0.341,41.690,58.642,35.801,7.172,34.563,37.352,35.544,30.822
0.421,41.621,58.613,35.836,7.137,35.023,37.556,35.601,31.149
0.308,41.441,59.008,36.241,7.088,34.631,37.807,35.543,31.030
0.316,40.954,58.191,36.049,7.397,34.481,37.604,35.718,30.959
0.237,41.833,58.704,35.508,7.054,35.100,37.896,35.405,31.111
0.345,41.687,58.080,36.041,7.084,34.349,37.805,35.748,30.875
0.340,41.557,58.380,35.828,6.923,34.975,37.422,35.773,31.002
0.305,41.388,59.251,35.712,7.199,34.988,37.630,35.712,31.072
0.314,41.780,58.487,35.622,7.137,34.845,37.627,35.312,30.820
0.272,41.689,58.258,36.007,7.025,34.843,37.187,35.392,31.204
0.204,41.656,59.380,36.102,7.223,35.159,37.638,35.622,31.164
0.318,41.591,58.461,36.079,6.981,34.931,37.592,35.636,30.846
0.320,41.784,57.593,36.202,7.114,34.679,37.626,35.903,30.813
0.307,41.326,57.991,35.446,7.176,34.799,37.600,35.594,30.750
0.348,42.073,58.428,35.714,7.126,34.620,37.309,35.189,30.955
0.355,41.543,58.811,35.670,7.307,34.828,37.720,35.888,30.747
0.324,42.008,59.101,35.766,7.141,34.751,37.390,35.312,30.840
0.315,41.506,58.829,36.314,7.155,34.528,37.623,35.736,30.927
0.340,41.691,58.300,36.171,7.304,34.558,37.790,35.654,30.862
0.317,41.458,58.673,35.294,7.145,34.422,37.749,35.408,30.942
0.348,41.723,58.626,36.071,7.103,34.924,37.652,35.845,31.457
0.335,41.974,58.489,35.811,6.932,34.266,37.650,34.976,31.054
0.345,41.885,58.639,36.026,7.206,34.898,37.448,35.492,30.572
0.308,41.766,58.932,35.532,7.286,34.171,37.526,35.948,30.999
0.310,41.737,58.771,35.843,6.857,34.751,37.326,36.046,30.969
0.362,41.948,58.109,36.248,7.184,34.856,37.710,35.191,31.209
0.351,41.589,58.552,36.029,7.212,34.938,37.624,35.863,31.225
0.327,41.741,58.761,35.719,7.216,35.329,37.400,35.336,31.238
0.305,41.228,58.864,35.819,7.140,34.725,37.646,35.807,31.353
0.346,41.682,58.911,35.898,7.143,34.899,37.529,35.485,30.616
0.305,42.201,58.250,36.288,6.956,34.880,37.980,35.460,31.040
0.316,42.084,58.943,35.525,7.114,35.292,37.758,35.674,30.887
0.299,41.526,58.488,35.789,7.035,34.606,37.614,35.663,30.885
0.282,41.784,58.470,35.636,7.184,34.936,37.803,35.404,31.412
0.308,41.670,58.555,35.799,7.198,34.640,37.572,36.000,30.841
0.235,41.499,57.864,35.473,7.144,34.570,37.885,36.150,30.987
0.420,41.799,58.222,36.047,6.914,34.847,38.063,35.817,31.159
0.359,41.150,58.468,36.230,7.006,34.734,37.752,35.668,31.274
0.370,41.604,58.773,35.639,7.256,34.896,37.923,35.632,30.550
0.332,42.149,58.784,35.708,7.041,34.998,37.883,34.992,31.002
0.322,41.271,58.994,35.375,7.094,34.779,37.712,35.359,30.740
0.341,41.546,58.684,35.597,7.145,34.775,37.437,35.803,30.952
0.275,41.322,58.440,35.821,7.171,35.198,37.802,36.014,31.383
0.326,41.740,58.370,36.031,6.917,34.968,37.883,35.568,30.850
0.329,41.576,58.754,36.083,7.061,34.707,37.444,35.406,31.390
0.338,41.660,58.246,35.520,7.200,34.712,37.690,35.847,30.712
