CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.114,33.848,51.742,31.057,5.381,27.429,32.253,27.616,24.076
0.098,34.303,51.676,30.994,5.498,27.853,31.684,27.389,23.903
0.134,34.247,51.375,30.317,5.287,28.311,32.685,27.155,24.120
0.151,34.417,51.434,31.300,5.496,27.399,32.744,27.514,24.062
0.183,34.295,51.327,30.717,5.371,27.803,31.989,27.271,24.169
0.185,34.253,51.892,31.113,5.522,27.946,32.033,27.154,24.184
0.099,34.316,51.196,30.381,5.508,27.829,32.012,27.374,23.942
0.117,34.639,51.455,31.270,5.487,27.807,32.359,26.727,24.044
0.145,34.237,52.218,30.559,5.293,27.577,32.257,27.428,24.268
0.135,34.883,51.406,30.410,5.174,27.887,32.511,27.623,23.927
0.212,34.492,51.763,31.192,5.513,27.710,32.566,27.018,24.041
0.152,34.247,51.774,30.622,5.347,27.864,32.048,27.768,24.006
0.175,34.780,51.325,30.807,5.363,27.939,32.600,27.246,23.701
0.132,34.692,52.108,30.844,5.503,27.273,32.725,27.265,24.120
0.085,34.640,51.346,30.887,5.366,27.618,32.060,26.983,24.208
0.099,34.874,52.001,30.756,5.443,27.826,32.193,27.573,23.889
0.086,34.740,51.284,31.124,5.502,27.695,32.139,27.021,23.970
0.219,34.594,51.479,31.356,5.464,27.894,32.198,27.027,23.847
0.153,34.514,52.122,31.195,5.500,27.865,32.330,27.061,24.323
0.140,34.410,51.425,30.635,5.329,27.741,32.482,27.349,23.960
0.185,34.513,51.717,30.583,5.532,27.642,32.543,27.066,24.051
0.101,34.450,51.936,30.837,5.546,27.880,31.982,27.431,24.036
0.154,34.462,51.680,30.623,5.537,28.126,32.206,27.086,24.047
0.105,34.536,51.681,31.123,5.604,27.487,32.493,27.348,23.985
0.133,34.936,51.586,30.715,5.479,27.772,32.618,27.632,23.857
0.139,34.353,51.896,30.786,5.583,27.951,32.189,27.348,23.754
0.110,34.188,52.088,30.550,5.468,28.113,32.065,26.926,23.748
0.181,34.453,50.874,30.558,5.293,28.061,32.587,27.240,23.815
0.082,34.702,51.940,30.577,5.720,27.787,32.030,27.356,24.038
0.068,34.552,51.958,30.767,5.653,27.539,32.112,27.162,24.281
0.086,34.470,52.515,31.116,5.512,27.496,32.243,27.129,23.909
0.083,34.743,51.537,30.913,5.590,27.495,32.373,27.326,23.828
0.112,34.267,51.319,31.088,5.323,28.106,32.466,27.079,24.129
0.105,34.914,51.374,31.000,5.374,27.630,32.270,27.403,23.930
0.136,34.457,51.714,30.788,5.563,27.539,32.610,27.559,23.949
0.039,34.264,52.576,30.671,5.496,27.738,32.232,26.802,23.797
0.107,34.805,51.496,31.378,5.425,27.495,32.335,27.337,23.986
0.098,34.774,51.775,30.133,5.546,27.666,32.241,27.130,23.793
0.098,34.470,52.115,30.908,5.401,27.764,32.172,27.680,23.974
0.174,34.626,51.538,30.473,5.333,27.985,32.264,26.907,24.235
0.109,35.063,51.781,30.742,5.434,27.337,32.388,27.574,23.785
0.124,34.644,52.230,31.114,5.167,27.981,32.143,27.407,23.859
0.130,34.700,52.332,31.038,5.671,27.576,32.451,26.922,24.388
0.036,34.835,51.312,30.870,5.599,27.759,32.320,27.763,24.099
0.064,34.633,52.010,31.009,5.414,27.585,32.365,27.230,23.817
0.100,34.707,51.982,30.361,5.329,28.295,32.232,27.311,23.440
0.114,34.561,51.548,31.020,5.429,27.757,31.590,27.299,23.853
0.154,34.260,51.683,30.683,5.491,28.017,32.634,27.328,24.135
0.182,33.920,50.952,31.206,5.236,27.545,31.708,27.406,23.939
0.108,34.602,51.733,30.400,5.401,27.849,31.982,27.334,24.346
0.163,34.672,52.418,30.679,5.436,26.953,32.409,27.305,23.989
0.159,35.008,51.404,30.800,5.359,28.013,32.414,27.494,23.979
0.163,34.890,51.193,30.812,5.453,27.676,32.250,27.063,23.720
0.191,34.528,51.638,30.206,5.454,27.731,32.541,27.245,24.125
0.132,34.674,51.737,30.433,5.533,27.463,32.248,27.430,24.252
0.163,34.652,51.764,30.807,5.511,27.717,31.961,27.013,24.049
0.154,34.499,51.700,31.181,5.520,27.962,32.228,27.091,24.057
0.101,34.892,51.450,31.334,5.607,28.051,32.106,27.466,24.288
0.140,34.621,51.973,30.765,5.444,27.769,32.785,27.139,23.797
0.101,34.449,51.621,30.659,5.551,27.514,32.186,27.279,24.203
0.100,34.540,52.180,30.922,5.584,27.797,32.280,27.465,23.772
0.125,34.476,51.411,30.953,5.283,27.602,32.553,27.285,23.945
0.067,34.737,52.011,30.750,5.451,28.024,32.603,26.959,23.706
0.156,34.267,51.845,31.142,5.505,27.557,31.970,26.939,23.701
0.144,34.612,51.734,30.955,5.377,27.876,32.271,27.877,23.892
0.161,34.310,51.587,30.798,5.353,27.868,32.312,27.538,23.915
0.153,34.634,51.611,30.894,5.372,28.004,32.096,26.881,23.776
0.114,34.848,51.690,30.579,5.288,27.814,32.534,27.114,23.741
0.167,34.276,51.472,30.844,5.406,27.905,32.268,27.366,23.916
0.097,34.848,51.186,30.712,5.474,27.917,32.199,26.966,23.969
0.140,34.435,51.998,31.277,5.363,27.565,32.324,27.491,23.654
0.140,34.395,51.481,30.879,5.458,27.897,32.555,27.215,23.983
0.084,34.342,51.793,30.727,5.377,27.618,32.404,27.135,24.137
0.093,34.921,52.031,30.362,5.540,28.112,32.011,27.768,23.886
0.162,34.600,52.400,30.630,5.422,27.752,32.271,27.418,23.977
0.084,34.369,51.957,30.740,5.470,28.148,32.715,27.391,23.948
0.175,34.835,52.321,30.791,5.695,28.215,32.158,27.218,23.831
0.079,34.538,51.952,30.442,5.572,27.864,32.229,27.611,23.807
0.082,34.099,51.638,31.377,5.583,27.761,32.206,27.573,23.711
0.130,34.633,51.531,30.954,5.251,27.608,32.157,27.089,23.941
0.125,34.722,51.388,30.940,5.317,27.790,32.587,27.326,24.122
0.128,34.723,50.975,30.912,5.320,27.716,32.134,27.521,24.253
0.153,34.973,51.429,30.879,5.457,27.794,32.374,27.188,23.699
0.081,34.653,51.763,31.317,5.440,27.342,32.191,27.451,24.382
0.111,34.336,51.683,30.634,5.495,28.075,32.234,27.281,23.865
0.141,34.477,51.626,31.042,5.248,28.115,32.549,26.991,23.838
0.112,34.212,52.085,30.915,5.731,27.517,31.622,27.432,24.453
0.104,34.256,51.628,30.667,5.541,27.621,32.135,27.538,24.029
0.127,34.787,51.557,30.854,5.306,27.702,32.366,26.968,24.081
0.094,34.521,51.970,31.358,5.088,28.149,31.834,27.061,24.160
0.207,34.786,51.900,30.492,5.380,27.959,32.311,26.873,24.110
0.097,34.499,51.375,30.588,5.531,27.666,32.449,27.249,23.914
0.182,34.742,51.451,30.934,5.262,28.189,32.230,27.505,24.103
0.107,34.247,52.604,30.942,5.418,27.970,32.115,27.610,23.994
0.081,34.872,51.777,30.592,5.318,27.570,32.052,27.185,23.859
0.215,34.390,51.698,31.314,5.465,27.638,32.163,27.179,24.157
0.025,34.455,51.490,31.118,5.661,27.960,32.456,27.149,24.108
0.158,34.699,51.570,30.660,5.488,27.676,32.378,27.385,23.679
0.172,34.428,51.750,30.621,5.524,27.401,32.075,27.017,23.956
0.126,34.261,52.018,31.134,5.527,27.550,32.304,26.800,24.022
0.061,34.618,51.785,30.839,5.280,27.473,32.180,27.240,24.176
0.122,34.448,51.964,31.154,5.454,27.658,32.001,27.057,23.979
0.121,34.489,51.526,30.908,5.451,27.856,32.655,27.280,23.655
0.107,34.436,51.161,31.194,5.364,27.632,31.932,27.206,23.788
0.175,34.756,51.849,30.470,5.474,27.922,32.330,26.973,24.038
0.210,34.818,52.162,30.902,5.433,27.581,32.209,27.100,23.719
0.149,34.938,51.904,30.435,5.462,28.049,31.820,27.296,23.712
0.176,34.586,51.593,30.867,5.389,27.902,31.990,27.391,24.151
0.117,34.797,52.095,30.792,5.560,27.580,32.574,27.022,23.810
0.117,34.132,51.705,30.909,5.544,28.160,32.400,27.515,24.177
0.092,34.564,52.008,31.019,5.393,27.902,32.675,27.756,23.925
0.150,34.118,51.949,30.634,5.603,27.666,32.493,27.585,23.923
0.154,34.436,52.038,30.655,5.385,27.680,32.224,27.476,24.429
0.106,34.851,51.887,31.152,5.500,27.828,32.285,27.314,24.024
0.087,34.388,51.657,30.840,5.365,27.880,32.251,26.915,23.846
0.102,34.580,51.799,31.039,5.352,27.615,32.526,27.497,23.691
0.120,34.672,51.806,30.059,5.423,27.796,32.620,26.874,23.870
0.087,34.825,51.827,31.335,5.201,27.993,32.301,27.323,24.028
0.082,34.750,51.781,30.608,5.381,27.475,32.409,27.440,23.871
0.092,34.748,51.756,31.026,5.363,28.001,32.081,27.346,23.997
0.032,34.773,51.629,30.519,5.627,27.631,31.993,27.358,24.166
0.106,34.219,52.107,30.987,5.512,27.679,32.335,27.017,23.813
0.143,33.885,51.800,31.078,5.538,27.834,32.342,27.363,23.974
0.101,34.387,51.724,31.379,5.504,27.894,32.429,27.282,24.349
0.206,34.576,52.130,30.929,5.364,27.704,32.512,27.634,23.803
0.078,34.586,51.733,30.745,5.536,27.684,32.387,26.967,24.013
0.098,34.178,51.969,30.640,5.500,27.386,32.501,27.114,23.992
0.168,34.120,51.493,31.218,5.256,28.004,32.328,27.275,23.935
0.101,34.596,51.992,31.156,5.419,27.603,32.587,27.578,23.601
0.162,34.462,51.975,30.945,5.483,28.052,32.249,27.193,23.865
0.058,33.998,51.420,30.580,5.488,28.000,32.108,27.504,23.692
0.205,34.520,51.452,31.221,5.400,27.657,32.090,27.072,23.776
