CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.015,38.279,53.404,34.422,7.087,32.592,33.642,32.418,25.357
0.023,38.032,53.579,34.179,6.763,33.314,33.784,32.451,25.568
0.035,38.863,53.453,34.348,7.079,33.217,34.124,32.317,25.232
0.051,38.439,52.839,34.082,7.235,33.569,33.904,32.415,25.985
0.053,38.951,53.097,34.368,7.005,33.300,34.104,32.497,25.898
0.052,38.224,53.211,34.293,7.097,32.951,34.029,32.555,25.662
0.007,38.344,53.255,34.190,7.142,33.340,33.965,32.545,25.674
0.029,38.409,53.060,34.345,6.954,33.369,34.256,32.085,25.477
0.000,38.595,53.020,34.551,7.190,33.168,34.418,32.465,25.580
0.091,38.486,53.067,34.894,7.364,33.119,34.205,32.473,26.044
0.041,38.600,53.215,33.957,6.981,33.672,34.317,32.330,25.601
0.007,38.553,52.989,33.736,6.995,33.392,34.110,32.730,26.029
0.058,38.371,53.033,34.556,7.239,33.310,34.026,32.381,25.794
0.035,38.465,53.173,34.428,7.133,33.444,34.086,32.106,26.105
0.036,38.715,52.818,34.044,7.211,33.310,34.008,32.418,25.562
0.019,38.333,53.533,34.337,7.209,32.531,34.031,31.964,25.849
0.017,38.495,53.689,34.079,7.094,33.503,33.841,32.144,25.526
0.047,38.467,52.862,34.621,7.099,33.260,33.995,32.459,25.704
0.051,38.155,53.432,34.315,7.216,33.215,34.507,32.717,26.012
0.023,38.505,53.154,34.554,7.282,33.190,33.836,32.748,25.661
0.021,38.459,53.326,33.787,7.210,33.054,34.223,32.437,25.537
0.008,38.286,53.320,34.810,7.152,33.081,34.136,32.197,25.668
0.038,38.465,53.662,34.556,6.971,33.056,34.493,32.410,25.155
0.014,38.897,53.110,34.699,7.167,33.440,33.900,32.477,25.510
0.089,38.273,53.807,34.336,7.124,33.294,34.106,32.276,25.891
0.025,38.475,52.584,34.100,7.162,33.461,33.877,32.682,25.853
0.017,38.875,53.151,34.556,7.106,33.142,33.843,32.341,25.648
0.029,38.847,53.178,34.180,6.982,33.444,34.215,32.480,25.885
0.040,38.114,52.659,34.521,7.015,32.846,34.343,32.535,25.752
0.062,38.424,52.813,33.883,6.996,32.940,34.545,32.394,26.000
0.034,38.584,53.470,34.337,7.145,33.043,34.112,31.862,25.781
0.107,38.716,53.068,34.177,7.212,33.198,34.645,32.391,25.731
0.008,38.797,53.372,34.570,6.983,33.195,34.410,32.241,25.329
0.010,38.477,53.360,34.524,6.855,33.065,34.148,32.582,25.540
0.071,38.548,53.577,34.371,7.099,32.935,34.148,32.837,26.229
0.001,38.671,53.079,34.334,7.240,33.428,34.204,32.399,25.628
0.044,38.161,52.793,34.104,6.999,33.482,33.989,32.879,25.765
0.041,38.606,53.116,34.122,6.986,32.817,34.313,32.188,25.926
0.010,38.386,53.218,34.288,7.243,33.271,34.300,32.450,25.756
0.053,38.877,52.840,34.540,7.195,33.508,34.060,31.713,25.776
0.008,38.601,53.533,34.043,7.137,32.610,33.932,32.206,25.595
0.019,38.709,53.618,34.147,7.158,33.425,34.336,32.395,25.609
0.025,38.906,53.105,34.311,7.020,33.636,34.182,32.820,25.304
0.072,38.219,52.969,34.208,7.506,33.396,34.237,32.595,25.729
0.014,38.413,53.310,34.070,7.279,33.340,34.296,32.274,25.660
0.039,38.062,52.604,34.158,7.179,33.671,33.852,32.462,25.945
0.050,38.190,53.380,33.985,7.191,33.724,34.349,32.355,26.042
0.010,38.339,53.586,33.874,7.164,32.825,33.899,32.360,25.912
0.033,38.750,53.537,34.304,7.081,33.303,34.063,31.578,25.806
0.051,38.204,53.283,34.298,6.998,33.260,33.954,32.156,25.367
0.079,38.440,53.140,34.070,7.003,33.195,34.411,32.271,25.240
0.002,38.407,53.253,33.890,7.080,33.135,34.147,32.298,25.420
0.030,38.502,53.351,33.854,7.165,33.352,34.430,32.184,25.553
0.082,38.329,53.604,34.528,7.184,32.842,34.141,32.392,25.374
0.036,38.389,52.723,34.068,7.293,33.736,33.798,32.067,25.922
0.027,38.725,53.207,34.047,7.278,33.663,33.980,32.288,26.212
0.035,38.656,53.321,34.428,7.258,33.445,34.001,32.687,25.939
0.109,38.417,52.523,34.532,6.977,33.394,33.844,32.569,25.401
0.070,38.625,53.232,34.330,7.066,33.162,34.072,32.551,25.741
0.010,38.234,53.195,35.088,7.046,33.383,33.717,32.570,25.729
0.029,38.382,53.025,34.612,7.002,33.212,34.327,32.533,26.050
0.005,38.579,53.140,33.775,7.284,33.370,33.987,32.271,25.832
0.018,38.551,54.019,34.449,6.917,33.117,34.143,32.404,25.794
0.004,38.309,52.653,34.129,7.174,32.790,34.205,32.242,26.141
0.059,38.750,53.722,34.378,7.118,33.301,33.898,32.356,25.629
0.019,39.107,52.807,34.471,7.170,33.411,34.198,32.621,25.618
0.048,39.059,53.168,34.363,7.150,33.406,34.082,32.648,25.963
0.015,37.997,52.824,34.504,7.120,32.815,33.916,32.518,25.813
0.003,38.045,53.584,34.459,7.046,33.342,34.196,32.705,25.678
0.027,38.122,53.135,34.258,7.134,32.980,34.068,32.472,25.573
0.065,38.818,53.898,34.258,7.255,33.121,33.968,32.464,25.631
0.074,38.512,53.075,34.239,7.209,33.290,33.960,32.301,25.882
0.003,39.101,53.776,34.386,7.097,33.201,34.140,32.597,25.817
0.066,38.329,53.219,34.684,7.206,33.735,33.871,32.467,26.326
0.015,38.367,53.308,34.315,7.176,33.032,34.160,32.270,25.932
0.004,38.862,53.387,34.153,7.041,33.042,34.063,32.413,25.774
0.009,38.650,54.029,34.342,7.293,33.132,34.141,32.370,25.537
0.010,38.259,52.528,34.216,7.031,33.328,34.341,32.294,25.929
0.003,38.427,53.157,34.007,7.222,33.786,33.963,32.379,25.266
0.030,38.433,52.685,34.697,7.320,33.274,34.243,32.192,25.536
0.036,38.300,53.472,34.330,7.149,33.237,33.894,32.352,25.878
0.001,38.421,53.301,34.865,7.225,33.089,34.364,32.065,25.889
0.040,38.577,53.592,33.990,7.085,33.163,34.285,32.539,26.003
0.046,38.242,53.010,33.689,7.054,33.427,34.253,32.459,25.369
0.011,38.227,52.993,34.130,7.133,33.745,33.940,32.687,26.168
0.072,38.437,52.776,34.162,7.176,33.276,34.155,32.750,25.503
0.010,38.534,52.818,34.547,7.223,32.907,33.928,32.374,25.681
0.003,38.680,53.809,34.273,7.163,32.936,33.890,32.254,25.548
0.064,38.728,53.398,34.356,7.421,33.362,34.405,32.216,25.681
0.000,38.317,53.137,34.299,7.323,32.984,34.091,32.439,25.765
0.040,38.801,52.728,34.354,7.506,33.445,34.031,32.785,26.066
0.029,38.891,53.043,34.397,7.308,33.214,34.205,32.582,25.515
0.037,38.420,53.389,34.523,7.209,33.423,34.303,32.587,26.049
0.046,38.961,53.835,34.209,7.194,32.892,33.965,32.220,25.523
0.032,38.521,53.336,34.152,7.143,33.101,34.184,32.123,25.672
0.070,38.704,53.414,34.211,7.273,33.250,34.037,31.954,25.493
0.033,38.094,53.339,34.330,7.289,32.816,34.325,32.118,26.024
0.062,38.569,53.465,34.455,7.269,33.733,34.085,32.149,25.722
0.018,38.487,53.479,33.811,6.947,33.634,34.674,32.695,25.810
0.025,38.578,53.230,34.778,7.307,32.752,34.368,32.497,25.460
0.054,38.762,53.135,34.404,7.322,33.428,34.120,32.269,25.576
0.048,38.363,53.413,34.448,7.179,33.556,34.093,32.180,25.872
0.025,38.076,53.463,34.539,7.367,33.079,33.959,32.344,25.479
0.045,38.318,53.260,34.098,7.015,32.965,34.051,32.408,25.629
0.005,38.733,53.293,34.587,7.002,33.506,34.793,32.521,25.952
0.006,38.095,53.637,34.788,7.106,32.524,34.197,32.744,25.682
0.006,38.546,53.376,34.637,7.122,32.935,34.103,32.163,26.188
0.042,38.519,53.166,34.821,6.920,33.381,33.608,32.077,25.493
0.031,38.305,53.314,34.437,7.084,33.208,34.080,32.350,25.318
0.051,38.370,53.236,34.386,7.132,32.945,33.898,32.428,26.065
