CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.011,41.715,58.170,36.729,7.245,34.557,38.077,35.551,30.971
0.028,41.390,58.619,36.354,7.229,34.708,38.217,35.667,31.112
0.022,42.170,57.931,36.532,7.308,35.167,38.054,35.637,30.529
0.012,41.939,58.066,35.879,7.269,34.992,37.963,35.514,31.112
0.084,41.718,58.169,36.440,7.011,34.780,38.258,35.367,30.788
0.053,42.115,58.583,36.372,7.179,34.882,38.313,35.286,30.862
0.037,42.060,58.206,36.487,7.288,34.843,38.108,36.154,30.937
0.048,41.617,58.801,36.461,7.245,35.514,38.388,35.331,30.782
0.009,41.839,58.351,36.453,7.237,34.699,38.464,35.480,31.183
0.019,42.098,58.394,35.805,7.235,34.222,38.011,35.339,31.135
0.096,42.089,58.513,36.196,7.061,34.683,38.329,35.856,30.602
0.055,41.874,59.196,36.477,7.182,34.659,37.792,35.577,30.712
0.021,42.053,58.548,36.322,7.296,34.643,37.943,35.169,31.118
0.039,41.413,58.759,36.843,7.028,34.772,38.000,35.341,30.999
0.097,41.620,58.581,36.424,7.178,34.640,37.951,35.608,30.746
0.075,41.831,58.670,36.616,7.287,34.500,38.379,35.352,30.999
0.004,41.914,59.025,36.309,7.153,34.876,38.233,35.600,30.862
0.028,41.967,58.859,36.038,7.351,34.656,37.753,35.128,30.657
0.078,41.845,58.442,36.485,7.287,34.703,38.212,35.605,30.859
0.075,41.597,58.089,36.196,7.361,34.959,38.161,35.984,30.605
0.029,41.984,58.566,36.137,7.061,34.779,37.708,35.462,30.734
0.056,41.688,58.753,36.259,7.141,34.746,38.223,35.487,31.060
0.060,41.531,58.871,36.369,7.123,34.875,37.774,35.675,30.858
0.039,42.308,58.290,36.782,7.165,34.472,38.087,35.769,30.243
0.057,41.973,58.554,36.335,7.166,34.695,38.252,35.332,30.912
0.005,41.477,58.587,36.580,7.334,34.643,37.751,35.411,30.739
0.044,41.773,58.187,36.288,7.423,34.870,38.070,36.112,30.899
0.003,41.809,58.566,36.486,7.367,34.772,38.032,35.742,30.809
0.081,42.169,58.302,36.219,7.070,34.596,38.182,35.606,30.998
0.001,41.447,58.977,36.416,7.092,34.794,38.326,36.452,30.985
0.030,41.387,58.190,36.564,7.143,34.318,37.866,35.328,30.682
0.068,42.074,58.329,35.803,7.411,34.845,38.457,36.003,30.898
0.012,41.816,58.825,36.296,7.336,35.150,38.178,35.554,31.147
0.070,41.553,58.848,36.380,7.141,35.335,38.494,35.126,30.547
0.052,42.340,58.218,36.080,7.146,34.801,37.948,36.237,30.711
0.050,41.556,58.281,36.387,7.203,35.040,38.367,35.959,30.758
0.022,41.716,58.756,36.285,7.019,34.817,37.701,35.793,31.023
0.017,41.386,59.356,35.904,7.527,34.540,38.466,35.385,30.923
0.037,41.617,58.622,35.877,7.234,34.521,37.977,35.673,31.228
0.109,41.683,58.103,35.996,7.138,34.765,37.741,35.984,30.848
0.082,41.673,58.607,35.730,7.356,34.842,38.256,35.786,30.826
0.000,42.153,58.599,35.893,7.091,34.929,38.485,35.514,31.117
0.028,42.083,58.198,35.793,7.173,35.149,38.472,35.838,31.023
0.059,41.642,58.289,36.551,7.208,34.913,37.967,35.451,30.912
0.040,41.790,58.623,36.059,7.401,34.656,38.263,35.896,30.469
0.015,41.830,58.731,36.046,7.422,35.043,38.276,35.751,30.526
0.054,42.082,58.225,36.271,7.572,34.758,37.844,35.788,30.740
0.003,42.077,58.253,36.314,7.331,34.489,38.656,35.753,30.498
0.082,42.444,57.887,36.339,7.236,34.763,38.229,35.791,30.903
0.034,42.210,59.038,36.122,7.171,34.798,37.795,35.106,30.802
0.005,41.870,58.262,36.276,7.259,35.054,38.754,35.711,30.459
0.040,41.619,57.827,36.434,7.372,34.647,37.806,35.298,30.616
0.046,42.216,59.293,36.284,7.349,34.823,38.347,35.657,30.725
0.007,42.217,58.570,36.001,7.131,34.904,38.098,35.451,30.924
0.031,42.065,58.040,36.665,7.354,35.104,38.194,35.782,30.380
0.032,41.453,58.501,35.984,7.175,35.068,37.893,35.746,30.576
0.002,41.597,58.220,35.771,7.280,34.854,37.909,35.399,30.886
0.028,41.959,58.276,36.245,7.034,35.173,37.678,35.124,30.777
0.057,41.085,58.263,36.303,7.354,35.047,38.337,35.552,30.809
0.022,41.300,59.218,36.163,7.253,34.650,38.696,36.067,30.986
0.003,42.104,58.909,36.185,7.194,35.265,38.309,35.532,31.150
0.024,42.095,58.523,36.134,7.158,34.811,37.796,35.907,31.097
0.108,42.157,58.476,36.236,7.293,34.913,37.903,35.525,30.906
0.047,41.852,59.269,36.237,7.527,34.655,37.626,36.138,30.737
0.028,42.337,57.996,36.558,7.136,34.954,37.854,35.479,30.619
0.087,41.765,58.795,36.481,7.284,34.969,38.186,35.075,30.646
0.028,41.814,58.033,35.889,7.243,34.681,38.569,35.449,30.704
0.049,41.548,58.666,36.136,7.361,34.993,38.374,35.697,30.693
0.023,42.147,57.932,36.415,7.508,34.490,38.507,35.773,30.838
0.011,41.647,58.531,36.550,7.195,34.800,37.924,35.756,31.130
0.028,41.939,58.481,36.494,7.257,34.938,37.770,35.767,30.783
0.001,41.712,58.337,36.289,7.000,34.673,37.961,35.786,30.762
0.060,41.838,58.396,36.274,7.337,34.431,38.483,35.659,30.673
0.078,42.076,58.536,36.106,7.077,34.753,38.020,35.311,30.965
0.030,41.938,59.287,35.880,7.103,34.416,38.266,35.673,30.362
0.013,41.710,58.290,36.103,7.232,34.691,38.232,35.802,30.949
0.054,41.870,58.177,35.971,7.195,35.143,38.330,35.562,30.818
0.006,41.988,58.520,36.237,7.371,34.884,37.894,35.560,30.983
0.025,41.605,58.780,36.449,6.970,35.005,38.281,35.712,30.831
0.024,41.649,58.471,36.203,7.274,35.247,38.355,35.516,30.907
0.019,41.630,58.892,36.296,7.315,34.683,38.014,35.420,30.406
0.003,42.013,58.807,36.287,7.320,35.216,38.335,35.708,30.650
0.026,41.275,58.719,35.917,7.193,34.667,37.901,35.558,30.805
0.001,41.677,59.012,36.506,7.109,35.262,38.421,35.758,30.453
0.028,41.857,58.439,36.208,7.223,34.746,37.982,35.555,30.854
0.022,42.083,58.859,36.558,7.154,34.768,37.958,35.262,30.350
0.070,41.579,58.188,36.746,7.288,34.878,38.145,35.535,31.061
0.019,41.551,58.903,36.301,7.188,34.670,38.377,35.759,30.802
0.013,41.768,58.703,36.188,7.298,35.143,38.064,35.534,30.690
0.065,41.585,58.424,36.414,7.323,34.760,38.453,35.714,30.735
0.004,42.037,58.407,36.213,7.374,34.377,37.806,36.193,30.871
0.028,42.085,58.607,36.393,7.267,34.577,37.695,36.364,31.111
0.002,41.837,58.441,36.384,7.390,34.573,37.866,35.721,30.982
0.016,42.064,58.482,36.374,7.240,34.800,38.646,35.196,31.219
0.086,41.423,58.609,36.188,7.192,34.428,38.022,35.333,30.701
0.017,41.684,58.329,36.048,7.004,34.713,38.302,35.959,30.862
0.041,42.020,57.891,35.801,7.156,34.816,38.093,35.707,30.673
0.027,41.279,58.916,35.865,7.286,34.687,37.769,35.610,30.572
0.056,41.573,58.752,36.300,7.179,34.797,37.984,35.361,31.013
