CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.286,42.875,59.503,38.135,8.556,35.622,39.394,36.706,33.261
0.253,42.479,60.055,38.119,8.887,35.975,40.208,37.049,33.420
0.174,42.610,60.460,38.510,8.803,36.199,39.904,36.482,33.238
1.667,37.390,60.547,26.392,2.434,39.564,29.019,34.063,15.839
0.241,42.732,59.865,37.884,8.521,35.884,39.537,36.807,32.921
0.240,42.577,59.639,37.934,8.638,36.199,39.420,36.655,33.274
0.283,42.971,59.865,38.119,8.805,36.075,40.393,36.568,32.819
0.226,42.683,59.893,38.138,8.751,35.872,39.952,36.642,33.667
0.377,42.825,59.466,38.609,8.692,36.463,39.910,37.315,33.267
0.299,42.835,59.264,37.733,8.883,36.438,39.981,36.839,33.046
0.236,42.736,60.217,38.091,8.598,36.199,39.813,36.794,33.270
0.218,42.602,60.083,38.103,8.476,36.187,39.904,36.920,33.404
0.232,42.647,59.784,37.952,8.758,35.492,40.255,36.662,33.225
0.189,42.170,60.055,38.163,8.629,36.162,39.427,36.697,33.011
0.229,42.762,60.414,38.056,8.302,36.245,39.627,36.538,32.439
0.278,42.418,59.446,38.555,8.724,35.741,39.561,36.298,32.548
0.278,42.605,59.764,37.850,8.590,36.185,39.696,36.520,33.095
0.246,42.740,59.672,38.252,8.357,36.025,40.146,36.503,32.750
0.318,42.836,59.853,38.037,8.474,35.998,39.642,36.871,33.044
0.189,42.860,60.225,37.802,8.828,35.494,39.869,36.589,33.346
0.262,42.452,59.669,37.948,8.690,35.871,39.917,37.208,33.338
0.255,41.882,59.458,37.931,8.798,35.404,39.692,36.565,33.162
0.224,42.530,60.235,38.127,8.616,35.810,39.579,36.313,33.034
0.246,42.881,59.439,37.977,8.908,35.717,40.268,37.207,33.661
0.271,43.036,59.733,38.531,8.778,35.425,39.828,36.543,33.337
0.295,42.690,59.419,37.758,8.723,36.349,39.756,36.964,32.668
0.215,43.151,59.901,37.459,8.736,36.648,39.497,36.504,33.550
0.224,42.763,59.856,38.309,8.822,36.140,39.715,36.990,33.201
0.225,42.095,59.792,37.815,8.603,35.434,39.520,37.270,33.158
0.261,42.982,60.132,38.203,8.503,35.465,40.350,36.930,33.231
0.322,42.571,60.381,37.794,8.786,36.214,39.842,36.629,32.948
0.276,42.179,59.327,38.421,8.772,36.502,39.831,36.634,33.634
0.262,42.541,60.349,38.466,8.430,36.025,40.055,37.019,33.445
0.290,42.725,59.588,38.632,8.508,35.887,39.939,36.781,33.239
0.290,42.372,60.509,37.870,8.338,35.843,39.884,36.498,33.285
0.291,42.742,60.024,37.651,8.529,36.006,40.030,36.763,33.531
0.247,42.504,60.361,37.855,8.623,35.792,39.645,36.756,33.079
0.216,42.772,59.429,37.770,8.737,36.055,39.570,36.913,33.267
0.270,42.969,59.901,37.900,8.624,35.620,39.451,36.712,33.058
0.182,42.859,60.715,38.072,8.569,36.021,39.621,37.022,33.002
0.259,42.470,59.875,38.288,8.872,36.115,39.462,36.630,33.043
0.232,42.188,59.951,38.251,8.696,35.857,39.961,36.453,32.929
0.239,43.433,59.727,38.339,8.748,36.147,39.710,36.433,32.800
0.251,42.455,60.289,38.114,8.401,36.196,39.645,37.221,33.540
0.236,42.357,60.286,38.195,8.762,36.027,40.093,36.801,33.035
0.283,43.039,59.745,37.931,8.659,35.572,39.533,36.913,32.941
0.180,42.763,59.532,38.200,8.531,36.186,40.054,36.724,32.858
0.172,42.511,59.922,38.146,8.661,35.890,39.446,36.432,33.306
0.148,42.516,59.991,37.865,8.462,36.234,39.519,36.368,33.412
0.243,42.774,60.203,37.930,8.567,35.866,39.721,36.690,33.092
0.258,42.613,60.217,37.966,8.987,36.093,39.598,36.531,33.656
0.341,42.670,60.501,38.462,8.530,36.165,39.968,36.459,32.611
0.129,42.940,60.027,38.369,8.510,36.261,40.013,36.771,33.099
0.240,42.680,59.991,38.203,8.615,35.889,40.207,36.870,33.056
