CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.337,42.083,59.399,36.765,7.947,35.885,39.114,36.346,31.626
0.431,42.539,59.757,37.129,7.851,35.694,39.042,36.767,32.059
0.409,42.795,60.082,36.763,7.876,35.912,39.105,36.055,31.975
0.375,41.924,59.716,37.069,7.914,35.856,39.040,36.822,31.958
0.350,42.301,60.095,36.795,7.881,35.544,38.771,36.911,32.274
0.436,42.696,59.247,37.030,7.822,35.467,39.108,36.831,32.167
0.479,42.560,59.626,36.553,7.861,36.233,39.157,36.529,32.340
0.402,42.746,59.630,36.787,8.023,35.908,39.068,36.383,31.916
0.389,43.040,59.521,36.846,7.744,35.971,39.406,36.749,32.118
0.356,42.592,59.936,36.663,7.929,35.680,38.803,36.608,32.148
0.443,42.370,58.616,36.361,7.898,36.133,39.153,36.939,32.321
0.348,42.789,59.508,36.633,7.932,35.730,38.833,36.255,31.810
0.362,42.326,59.865,36.579,7.921,36.091,39.239,36.622,31.973
0.439,42.296,59.808,36.640,7.887,35.517,39.476,36.370,31.947
0.447,42.139,59.862,37.324,8.007,36.007,39.257,36.755,32.037
0.473,42.560,59.592,36.987,7.807,35.745,39.107,36.484,32.073
0.425,41.507,60.210,36.787,7.814,35.789,38.922,36.416,32.196
0.417,42.295,60.258,36.527,7.723,36.080,39.527,36.425,32.040
0.384,43.234,59.761,37.033,7.926,36.162,38.844,36.801,32.068
0.309,42.492,59.980,36.941,7.950,36.088,39.294,36.884,31.953
0.442,42.542,59.318,36.962,7.768,36.492,39.367,36.976,32.317
0.507,42.157,59.953,36.696,7.933,35.946,38.788,36.500,32.113
0.363,42.066,60.129,37.362,7.911,35.971,39.185,36.453,31.953
0.407,42.631,59.554,36.904,7.648,35.639,38.721,36.885,31.925
0.388,42.194,59.725,36.629,7.881,36.032,39.314,36.575,32.140
0.417,42.389,59.900,36.876,7.915,36.008,38.991,36.126,32.192
0.343,42.853,59.619,36.977,7.941,35.972,39.457,36.468,31.576
0.435,42.187,59.650,36.863,7.907,35.833,39.100,36.571,31.880
0.303,42.065,60.246,36.319,7.823,35.803,39.233,36.469,31.936
0.436,42.491,59.256,36.467,7.791,35.941,38.993,36.785,32.174
0.383,42.390,59.682,36.740,7.987,36.068,39.142,36.372,31.805
0.392,42.287,59.912,36.873,7.997,35.947,38.943,36.932,32.055
0.371,41.924,60.022,36.617,7.924,36.224,39.160,36.576,32.126
0.364,42.536,59.879,36.565,7.874,35.577,39.323,36.487,32.722
0.294,42.133,59.488,36.965,7.589,35.549,39.294,36.378,31.749
0.443,42.032,59.652,36.903,7.723,35.754,39.419,36.518,32.302
0.370,42.529,60.338,36.837,7.992,35.759,39.025,36.735,32.131
0.347,42.498,59.579,36.582,7.768,35.798,39.106,36.449,31.980
0.341,42.302,59.821,36.472,8.142,35.885,38.894,36.807,31.992
0.364,42.485,59.795,36.770,8.084,35.606,39.614,36.614,32.285
0.362,42.625,59.568,36.817,7.835,35.761,39.533,36.556,32.291
0.409,42.557,59.544,36.493,8.026,35.661,39.243,36.627,31.914
0.364,42.713,59.966,36.485,7.931,35.619,39.285,36.634,32.069
0.443,41.864,59.636,37.011,7.819,35.928,39.324,36.535,32.208
0.345,42.064,60.073,36.934,7.801,35.868,39.232,36.533,31.633
0.297,41.752,60.194,37.324,7.948,35.721,38.957,36.982,31.548
0.474,42.224,59.353,37.198,8.058,35.603,38.378,36.778,32.678
0.460,42.249,60.408,36.806,7.793,36.047,39.224,36.707,32.024
0.380,42.039,60.244,36.650,7.661,35.796,38.981,36.412,32.003
0.413,41.868,59.811,36.825,7.814,35.881,38.890,36.717,32.250
0.339,42.098,60.166,36.714,7.902,35.457,38.961,36.466,32.107
0.366,42.399,60.004,36.720,7.938,36.039,38.882,36.964,32.393
0.309,42.310,59.910,36.069,7.801,36.031,39.053,36.303,31.879
0.326,42.927,59.067,37.523,7.682,35.749,39.410,36.414,31.951
0.417,42.185,60.251,37.032,7.803,36.306,38.879,36.545,32.016
0.355,42.185,59.548,36.955,7.737,35.930,39.418,36.465,31.980
0.396,42.638,59.403,36.653,7.858,35.782,39.213,36.610,31.969
0.366,42.810,60.461,36.661,7.515,35.663,38.842,36.367,32.087
0.396,42.618,59.853,36.508,7.813,35.986,38.786,36.819,31.587
0.354,42.525,59.588,36.786,7.923,36.231,39.214,36.859,32.520
0.413,42.659,59.400,37.164,7.693,35.835,39.400,36.511,31.925
0.382,42.345,59.993,36.970,8.062,35.873,39.443,36.533,32.028
0.394,42.617,59.812,36.537,7.709,35.989,38.815,36.861,32.568
0.412,42.286,59.314,36.688,7.945,35.949,39.255,36.021,32.029
0.461,42.415,60.180,37.317,7.810,35.833,39.519,36.694,32.378
0.384,42.493,59.790,36.458,7.622,35.813,39.135,36.393,32.331
0.366,42.253,59.880,36.573,7.910,35.821,38.689,36.383,32.191
0.495,42.116,60.286,36.781,7.930,36.110,39.110,36.562,32.473
0.418,42.915,59.450,36.965,7.847,35.446,38.754,36.421,31.887
0.375,42.201,60.181,37.269,7.858,35.896,39.047,36.862,32.151
0.356,42.521,59.983,36.919,7.884,35.795,39.197,36.589,32.373
0.399,42.161,59.709,37.161,7.907,35.903,39.376,36.764,32.204
0.343,42.074,59.714,36.276,7.979,36.079,39.174,36.640,31.964
0.425,42.675,59.701,36.719,7.961,35.656,39.290,37.107,31.966
0.467,42.616,59.811,36.663,7.817,36.008,39.338,36.775,31.988
0.384,42.028,60.028,36.673,7.812,35.709,38.942,36.354,31.882
0.405,42.125,59.611,36.888,7.878,35.565,39.048,37.486,31.988
0.383,42.383,60.054,36.569,7.965,36.426,39.205,36.376,31.961
0.384,42.409,59.870,36.506,7.981,36.217,38.738,36.675,31.860
0.325,41.996,59.687,36.933,7.910,36.107,39.384,37.047,32.058
0.435,42.299,59.760,37.000,8.003,36.360,38.918,36.898,32.324
0.440,42.323,59.649,36.949,8.036,35.900,38.727,36.870,32.104
0.459,42.467,59.367,36.947,7.774,36.032,38.894,36.639,32.095
0.323,42.190,59.774,37.260,8.110,35.904,39.120,36.579,32.136
0.469,42.661,59.533,36.298,7.932,35.983,38.958,36.265,31.927
0.335,42.075,60.124,37.017,7.780,36.187,38.998,36.582,32.245
0.411,42.289,59.489,37.213,7.995,36.273,39.391,36.654,31.938
0.399,42.817,59.965,36.470,7.737,35.545,38.651,36.980,32.192
0.406,42.085,60.124,37.087,7.895,35.589,38.933,36.179,32.216
0.402,42.175,59.631,36.811,7.796,35.690,39.316,36.667,32.448
0.455,42.455,59.838,36.911,7.966,36.006,39.545,37.049,31.881
0.423,42.704,59.560,36.953,7.937,36.172,39.378,36.653,32.232
0.434,42.490,60.274,36.961,7.883,36.004,39.184,37.037,31.730
0.456,42.376,59.447,37.234,7.805,35.838,38.973,36.394,31.894
0.354,42.717,59.650,36.949,8.025,35.838,39.687,36.555,32.206
0.313,42.044,59.920,36.379,8.105,35.866,39.076,36.352,32.441
0.378,42.410,59.744,36.933,7.945,35.782,38.636,37.087,32.010
0.446,42.430,59.305,37.158,7.982,35.968,38.772,36.464,31.966
0.369,42.122,59.772,36.542,8.073,35.896,39.287,36.425,32.155
